#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-6.66635	-6.66635	0
2	-6.65922	-6.66279	0.00251886
3	-6.66352	-6.66303	0.00169103
4	-6.6588	-6.66197	0.00156458
5	-6.66474	-6.66253	0.0013462
6	-6.6622	-6.66247	0.0011229
7	-6.66115	-6.66228	0.000978354
8	-6.66091	-6.66211	0.000870955
9	-6.65967	-6.66184	0.000815223
10	-6.66198	-6.66185	0.000733822
11	-6.6606	-6.66174	0.00067594
12	-6.66501	-6.66201	0.000672276
13	-6.66232	-6.66204	0.000620987
14	-6.65841	-6.66178	0.000628222
15	-6.66294	-6.66186	0.000591122
16	-6.66476	-6.66204	0.00058139
17	-6.65874	-6.66184	0.000578637
18	-6.66098	-6.6618	0.000548494
19	-6.66381	-6.6619	0.00052978
20	-6.65676	-6.66164	0.000562269
21	-6.66236	-6.66168	0.00053652
22	-6.66076	-6.66164	0.000513759
23	-6.66378	-6.66173	0.000499795
24	-6.66057	-6.66168	0.000481307
25	-6.66291	-6.66173	0.000464564
26	-6.65941	-6.66164	0.000455187
27	-6.65919	-6.66155	0.000447276
28	-6.66535	-6.66169	0.000451472
29	-6.66036	-6.66164	0.000438215
30	-6.66089	-6.66162	0.000424314
31	-6.66371	-6.66168	0.000415979
32	-6.66208	-6.6617	0.000403163
33	-6.66539	-6.66181	0.000406194
34	-6.662	-6.66181	0.000394285
35	-6.65735	-6.66169	0.000403134
36	-6.66203	-6.66169	0.00039205
37	-6.65972	-6.66164	0.000385074
38	-6.66174	-6.66164	0.00037495
39	-6.6623	-6.66166	0.000365716
40	-6.66012	-6.66162	0.000358597
41	-6.66295	-6.66165	0.000351318
42	-6.66443	-6.66172	0.000349099
43	-6.66111	-6.66171	0.000341272
44	-6.66062	-6.66168	0.000334401
45	-6.66611	-6.66178	0.00034114
46	-6.66102	-6.66176	0.000334126
47	-6.6623	-6.66178	0.000327209
48	-6.66419	-6.66183	0.000324223
49	-6.66197	-6.66183	0.000317619
50	-6.66168	-6.66183	0.000311281
51	-6.66004	-6.66179	0.000307139
52	-6.6597	-6.66175	0.000303861
53	-6.66204	-6.66176	0.000298177
54	-6.66227	-6.66177	0.000292809
55	-6.66	-6.66173	0.000289237
56	-6.65885	-6.66168	0.000288632
57	-6.66511	-6.66174	0.000289778
58	-6.65845	-6.66168	0.000290287
59	-6.6627	-6.6617	0.000285872
60	-6.65877	-6.66165	0.000285262
61	-6.6602	-6.66163	0.000281577
62	-6.66351	-6.66166	0.00027866
63	-6.66068	-6.66164	0.000274667
64	-6.66149	-6.66164	0.000270386
65	-6.65735	-6.66158	0.000274153
66	-6.66291	-6.6616	0.000270741
67	-6.65844	-6.66155	0.000270772
68	-6.66279	-6.66157	0.000267405
69	-6.66577	-6.66163	0.000270385
70	-6.66365	-6.66166	0.000268055
71	-6.66115	-6.66165	0.000264376
72	-6.66532	-6.6617	0.000265574
73	-6.66245	-6.66171	0.000262134
74	-6.66082	-6.6617	0.000258865
75	-6.65773	-6.66165	0.000260768
76	-6.66422	-6.66168	0.000259525
77	-6.66001	-6.66166	0.00025706
78	-6.66345	-6.66168	0.000254784
79	-6.66219	-6.66169	0.00025164
80	-6.6625	-6.6617	0.000248699
81	-6.6636	-6.66172	0.00024673
82	-6.66143	-6.66172	0.000243746
83	-6.66614	-6.66177	0.000246572
84	-6.66082	-6.66176	0.000243899
85	-6.66319	-6.66178	0.000241607
86	-6.66218	-6.66178	0.000238845
87	-6.66461	-6.66181	0.000238297
88	-6.65599	-6.66175	0.000244591
89	-6.66139	-6.66174	0.000241877
90	-6.6622	-6.66175	0.000239242
91	-6.66074	-6.66174	0.000236867
92	-6.66183	-6.66174	0.000234295
93	-6.66116	-6.66173	0.000231858
94	-6.66008	-6.66171	0.000230053
95	-6.66438	-6.66174	0.000229334
96	-6.65923	-6.66172	0.000228433
97	-6.66096	-6.66171	0.000226211
98	-6.66205	-6.66171	0.000223929
99	-6.66046	-6.6617	0.000222023
100	-6.6641	-6.66172	0.000221101
