#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.962981	0.962981	0
2	0.958855	0.960918	0.0014587
3	0.961247	0.961028	0.00097657
4	0.957702	0.960196	0.00102716
5	0.962318	0.960621	0.000905139
6	0.960529	0.960605	0.000754412
7	0.959527	0.960451	0.000662188
8	0.959826	0.960373	0.000584014
9	0.95899	0.960219	0.000538958
10	0.960546	0.960252	0.000486051
11	0.959285	0.960164	0.000449753
12	0.962314	0.960343	0.000446534
13	0.960597	0.960363	0.000412612
14	0.957623	0.960167	0.000427023
15	0.961391	0.960249	0.000406272
16	0.961834	0.960348	0.000392775
17	0.958299	0.960227	0.000387721
18	0.959697	0.960198	0.000367299
19	0.961348	0.960258	0.000352918
20	0.957038	0.960097	0.000370176
21	0.961021	0.960141	0.000355154
22	0.95958	0.960116	0.000339927
23	0.961341	0.960169	0.000329293
24	0.959455	0.960139	0.000316912
25	0.960735	0.960163	0.00030513
26	0.958828	0.960112	0.000297683
27	0.958893	0.960067	0.00029006
28	0.962466	0.960152	0.000292087
29	0.959294	0.960123	0.00028351
30	0.959614	0.960106	0.000274566
31	0.961802	0.960161	0.000271108
32	0.960211	0.960162	0.00026264
33	0.961893	0.960215	0.000259867
34	0.960327	0.960218	0.000252245
35	0.957103	0.960129	0.000260266
36	0.959849	0.960121	0.000253152
37	0.959077	0.960093	0.000247879
38	0.960366	0.9601	0.00024146
39	0.960901	0.960121	0.00023614
40	0.959415	0.960103	0.000230895
41	0.96092	0.960123	0.000226122
42	0.961939	0.960166	0.000224833
43	0.959729	0.960156	0.000219834
44	0.959943	0.960151	0.000214891
45	0.963372	0.960223	0.000221715
46	0.960075	0.96022	0.000216918
47	0.960596	0.960228	0.000212451
48	0.962362	0.960272	0.000212628
49	0.960375	0.960274	0.000208299
50	0.96017	0.960272	0.000204143
51	0.959528	0.960257	0.000200661
52	0.959051	0.960234	0.000198138
53	0.96051	0.960239	0.000194467
54	0.960829	0.96025	0.000191173
55	0.959034	0.960228	0.000188972
56	0.958517	0.960198	0.000188052
57	0.962581	0.96024	0.000189344
58	0.958391	0.960208	0.000188742
59	0.9613	0.960226	0.000186449
60	0.95866	0.9602	0.00018516
61	0.959083	0.960182	0.000183029
62	0.961412	0.960202	0.00018115
63	0.959645	0.960193	0.00017849
64	0.959919	0.960188	0.000175752
65	0.957376	0.960145	0.000178294
66	0.960871	0.960156	0.000175932
67	0.958467	0.960131	0.000175103
68	0.960722	0.96014	0.000172743
69	0.96253	0.960174	0.000173679
70	0.96189	0.960199	0.000172919
71	0.959865	0.960194	0.000170548
72	0.962678	0.960229	0.000171634
73	0.961047	0.96024	0.000169649
74	0.959669	0.960232	0.000167532
75	0.957526	0.960196	0.000169139
76	0.961319	0.960211	0.000167557
77	0.959198	0.960198	0.000165896
78	0.961287	0.960212	0.000164355
79	0.960847	0.96022	0.000162471
80	0.960611	0.960225	0.000160514
81	0.961345	0.960238	0.000159127
82	0.960249	0.960239	0.000157186
83	0.962876	0.96027	0.000158473
84	0.959578	0.960262	0.0001568
85	0.960601	0.960266	0.000155006
86	0.960596	0.96027	0.000153251
87	0.961684	0.960286	0.000152349
88	0.956395	0.960242	0.000156903
89	0.959777	0.960237	0.000155227
90	0.96006	0.960235	0.000153515
91	0.959478	0.960226	0.000152053
92	0.959897	0.960223	0.000150442
93	0.959841	0.960219	0.000148881
94	0.958931	0.960205	0.000147926
95	0.961911	0.960223	0.000147454
96	0.958547	0.960206	0.000146947
97	0.959832	0.960202	0.000145483
98	0.960312	0.960203	0.000144003
99	0.959172	0.960192	0.000142924
100	0.961821	0.960209	0.00014242
