#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.802252	0.802252	0
2	0.798017	0.800135	0.00149713
3	0.800578	0.800282	0.00100535
4	0.797036	0.799471	0.00103086
5	0.801476	0.799872	0.000899315
6	0.799791	0.799858	0.000749529
7	0.798835	0.799712	0.000656545
8	0.799189	0.799647	0.000577728
9	0.798228	0.799489	0.000534618
10	0.799826	0.799523	0.000482215
11	0.798531	0.799433	0.000446732
12	0.80158	0.799612	0.000443911
13	0.799931	0.799636	0.000410445
14	0.797031	0.79945	0.000421208
15	0.800544	0.799523	0.000399388
16	0.801012	0.799616	0.00038512
17	0.79765	0.7995	0.000379438
18	0.799034	0.799474	0.000359242
19	0.800444	0.799525	0.000343936
20	0.796357	0.799367	0.000361389
21	0.800285	0.799411	0.000346815
22	0.798921	0.799389	0.000331764
23	0.800534	0.799438	0.000321059
24	0.798682	0.799407	0.000309226
25	0.800071	0.799433	0.000297997
26	0.798043	0.79938	0.000291294
27	0.798139	0.799334	0.000284107
28	0.801655	0.799417	0.000285803
29	0.798677	0.799391	0.000277083
30	0.798959	0.799377	0.000268221
31	0.800951	0.799428	0.000264331
32	0.799507	0.79943	0.000256082
33	0.801149	0.799482	0.000253562
34	0.799538	0.799484	0.000246109
35	0.796526	0.799399	0.000253176
36	0.799223	0.799395	0.000246191
37	0.798363	0.799367	0.000241111
38	0.799512	0.79937	0.000234796
39	0.800228	0.799392	0.000229802
40	0.79869	0.799375	0.000224726
41	0.800057	0.799392	0.00021986
42	0.80113	0.799433	0.000218486
43	0.799022	0.799423	0.000213614
44	0.799157	0.799417	0.000208844
45	0.802413	0.799484	0.000214554
46	0.799304	0.79948	0.000209926
47	0.799826	0.799487	0.000205588
48	0.801605	0.799531	0.000205983
49	0.799607	0.799533	0.000201785
50	0.799404	0.79953	0.000197766
51	0.79874	0.799515	0.000194494
52	0.798263	0.799491	0.000192239
53	0.799801	0.799497	0.000188701
54	0.800072	0.799507	0.000185507
55	0.798434	0.799488	0.000183158
56	0.797817	0.799458	0.000182301
57	0.80189	0.799501	0.000184029
58	0.797825	0.799472	0.00018311
59	0.80055	0.79949	0.000180917
60	0.797949	0.799464	0.000179715
61	0.798348	0.799446	0.000177698
62	0.800479	0.799463	0.000175611
63	0.798909	0.799454	0.000173043
64	0.799087	0.799448	0.000170435
65	0.796708	0.799406	0.000172948
66	0.800052	0.799416	0.000170604
67	0.797777	0.799391	0.000169802
68	0.80006	0.799401	0.000167589
69	0.801845	0.799437	0.000168862
70	0.801082	0.79946	0.000168077
71	0.798971	0.799453	0.000165851
72	0.801831	0.799486	0.000166802
73	0.800268	0.799497	0.00016486
74	0.798862	0.799488	0.000162855
75	0.796789	0.799452	0.000164612
76	0.800576	0.799467	0.000163108
77	0.798408	0.799453	0.000161569
78	0.800518	0.799467	0.000160073
79	0.799875	0.799472	0.00015813
80	0.799828	0.799477	0.000156216
81	0.80051	0.799489	0.000154808
82	0.799535	0.79949	0.000152921
83	0.8021	0.799521	0.000154278
84	0.798875	0.799514	0.000152634
85	0.799866	0.799518	0.000150894
86	0.799773	0.799521	0.000149169
87	0.800893	0.799537	0.000148286
88	0.795761	0.799494	0.000152682
89	0.799083	0.799489	0.000151036
90	0.799379	0.799488	0.000149363
91	0.798713	0.799479	0.000147964
92	0.799244	0.799477	0.000146378
93	0.799241	0.799474	0.000144826
94	0.798326	0.799462	0.000143799
95	0.801147	0.79948	0.000143375
96	0.797807	0.799462	0.000142937
97	0.799118	0.799459	0.000141508
98	0.799593	0.79946	0.00014007
99	0.798521	0.799451	0.000138976
100	0.801043	0.799467	0.000138496
