#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-5.46297	-5.46297	0
2	-5.4622	-5.46258	0.000273174
3	-5.46265	-5.46261	0.000183032
4	-5.46324	-5.46277	0.000194812
5	-5.46253	-5.46272	0.000161529
6	-5.46252	-5.46268	0.000138005
7	-5.46289	-5.46271	0.000121431
8	-5.46213	-5.46264	0.000126461
9	-5.46233	-5.46261	0.000116992
10	-5.46224	-5.46257	0.000110818
11	-5.4628	-5.46259	0.000102728
12	-5.46264	-5.4626	9.42444e-05
13	-5.46243	-5.46258	8.78868e-05
14	-5.46287	-5.4626	8.39465e-05
15	-5.46213	-5.46257	8.41257e-05
16	-5.46324	-5.46261	8.8707e-05
17	-5.46227	-5.46259	8.58136e-05
18	-5.46242	-5.46258	8.1552e-05
19	-5.46314	-5.46261	8.24418e-05
20	-5.46222	-5.46259	8.06071e-05
21	-5.46193	-5.46256	8.27335e-05
22	-5.46238	-5.46255	7.94007e-05
23	-5.46298	-5.46257	7.80554e-05
24	-5.46255	-5.46257	7.48107e-05
25	-5.4628	-5.46258	7.23993e-05
26	-5.46235	-5.46257	7.01759e-05
27	-5.46198	-5.46255	7.0875e-05
28	-5.46287	-5.46256	6.92735e-05
29	-5.46234	-5.46255	6.72888e-05
30	-5.46245	-5.46255	6.51262e-05
31	-5.46228	-5.46254	6.35844e-05
32	-5.46282	-5.46255	6.21828e-05
33	-5.46367	-5.46258	6.88966e-05
34	-5.46269	-5.46259	6.69398e-05
35	-5.46256	-5.46259	6.50321e-05
36	-5.4632	-5.4626	6.53979e-05
37	-5.46217	-5.46259	6.46465e-05
38	-5.46247	-5.46259	6.30202e-05
39	-5.46196	-5.46257	6.34223e-05
40	-5.46208	-5.46256	6.3e-05
41	-5.46287	-5.46257	6.19125e-05
42	-5.46273	-5.46257	6.05624e-05
43	-5.46257	-5.46257	5.9154e-05
44	-5.46189	-5.46256	5.98104e-05
45	-5.46249	-5.46255	5.84994e-05
46	-5.46206	-5.46254	5.81995e-05
47	-5.46256	-5.46254	5.69619e-05
48	-5.46178	-5.46253	5.79654e-05
49	-5.46256	-5.46253	5.67857e-05
50	-5.46257	-5.46253	5.56564e-05
51	-5.46193	-5.46252	5.57935e-05
52	-5.4623	-5.46251	5.48747e-05
53	-5.46234	-5.46251	5.39404e-05
54	-5.46216	-5.4625	5.33208e-05
55	-5.46235	-5.4625	5.24253e-05
56	-5.46212	-5.46249	5.193e-05
57	-5.46228	-5.46249	5.11584e-05
58	-5.46171	-5.46248	5.20073e-05
59	-5.46187	-5.46247	5.21347e-05
60	-5.46184	-5.46246	5.2293e-05
61	-5.46268	-5.46246	5.1563e-05
62	-5.46279	-5.46247	5.10028e-05
63	-5.46232	-5.46246	5.02451e-05
64	-5.46286	-5.46247	4.98376e-05
65	-5.46229	-5.46247	4.9145e-05
66	-5.46283	-5.46247	4.87084e-05
67	-5.46177	-5.46246	4.90886e-05
68	-5.4627	-5.46247	4.84934e-05
69	-5.463	-5.46247	4.84154e-05
70	-5.46202	-5.46247	4.81471e-05
71	-5.46269	-5.46247	4.75725e-05
72	-5.46257	-5.46247	4.69339e-05
73	-5.46205	-5.46247	4.66464e-05
74	-5.46253	-5.46247	4.60245e-05
75	-5.46255	-5.46247	4.54229e-05
76	-5.46336	-5.46248	4.63041e-05
77	-5.4624	-5.46248	4.57148e-05
78	-5.46267	-5.46248	4.51939e-05
79	-5.46238	-5.46248	4.4641e-05
80	-5.46276	-5.46248	4.42185e-05
81	-5.46283	-5.46249	4.38794e-05
82	-5.46213	-5.46248	4.35602e-05
83	-5.46299	-5.46249	4.34672e-05
84	-5.4625	-5.46249	4.29501e-05
85	-5.46339	-5.4625	4.37297e-05
86	-5.46252	-5.4625	4.32222e-05
87	-5.46327	-5.46251	4.36172e-05
88	-5.46235	-5.46251	4.31571e-05
89	-5.46276	-5.46251	4.27663e-05
90	-5.46313	-5.46252	4.28484e-05
91	-5.46268	-5.46252	4.24132e-05
92	-5.46296	-5.46252	4.22234e-05
93	-5.4623	-5.46252	4.18392e-05
94	-5.4626	-5.46252	4.14017e-05
95	-5.46266	-5.46252	4.09905e-05
96	-5.46252	-5.46252	4.05635e-05
97	-5.46228	-5.46252	4.0221e-05
98	-5.46266	-5.46252	3.9836e-05
99	-5.46268	-5.46252	3.94661e-05
100	-5.46254	-5.46252	3.90718e-05
