#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0	0
0.461329	0	0
0.484395	0	0
0.507461	0	0
0.530528	0	0
0.553594	0	0
0.576661	0	0
0.599727	0	0
0.622794	0	0
0.64586	0	0
0.668926	0	0
0.691993	0	0
0.715059	0	0
0.738126	0	0
0.761192	0	0
0.784259	0	0
0.807325	0	0
0.830391	0	0
0.853458	0	0
0.876524	7.36405e-05	2.30641e-05
0.899591	0.00374282	0.000157491
0.922657	0.0471488	0.000456652
0.945724	0.285839	0.00112736
0.96879	0.98558	0.00326826
0.991856	2.22959	0.00487276
1.01492	3.61013	0.00448405
1.03799	4.63079	0.00415098
1.06106	4.90941	0.0053184
1.08412	4.52457	0.00705946
1.10719	3.71381	0.00518965
1.13026	2.67799	0.00283523
1.15332	1.81092	0.00127658
1.17639	1.12194	0.00230525
1.19945	0.645929	0.00215423
1.22252	0.344774	0.00159368
1.24559	0.175481	0.00129694
1.26865	0.0834911	0.0010809
1.29172	0.0447091	0.000818065
1.31479	0.0383143	0.000819845
1.33785	0.0574293	0.000818009
1.36092	0.102335	0.000949712
1.38399	0.178845	0.000899707
1.40705	0.295776	0.00123472
1.43012	0.455897	0.000908772
1.45319	0.625965	0.00101975
1.47625	0.79999	0.00120631
1.49932	0.927811	0.0017087
1.52238	0.985857	0.00224786
1.54545	0.940763	0.00192256
1.56852	0.818919	0.00158262
1.59158	0.643004	0.000763268
1.61465	0.457847	0.000901811
1.63772	0.314497	0.000929172
1.66078	0.209916	0.00140709
1.68385	0.185037	0.00152934
1.70692	0.248604	0.00180533
1.72998	0.421121	0.00246336
1.75305	0.739967	0.00226755
1.77612	1.18461	0.00180008
1.79918	1.71868	0.00124355
1.82225	2.24787	0.00175998
1.84531	2.61578	0.00331876
1.86838	2.7395	0.0051042
1.89145	2.58663	0.0042249
1.91451	2.1881	0.00290767
1.93758	1.68662	0.00119341
1.96065	1.19532	0.00131218
1.98371	0.792066	0.00167034
2.00678	0.530234	0.00225014
2.02985	0.422516	0.00233375
2.05291	0.451904	0.00196114
2.07598	0.577817	0.00121851
2.09905	0.760294	0.000575569
2.12211	0.916251	0.0010297
2.14518	1.02622	0.00151656
2.16824	1.02969	0.00164077
2.19131	0.928824	0.00138603
2.21438	0.780912	0.00106062
2.23744	0.647558	0.00131029
2.26051	0.563506	0.00190014
2.28358	0.561525	0.00230338
