#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-6.70352	-6.70352	0
2	-6.68501	-6.69427	0.00654496
3	-6.67629	-6.68827	0.00655603
4	-6.68572	-6.68764	0.0049481
5	-6.68541	-6.68719	0.00397853
6	-6.68798	-6.68732	0.00331763
7	-6.67674	-6.68581	0.00316948
8	-6.68219	-6.68536	0.00280544
9	-6.69267	-6.68617	0.00260872
10	-6.66966	-6.68452	0.00282219
11	-6.67508	-6.68366	0.00269294
12	-6.68567	-6.68383	0.00247371
13	-6.67685	-6.68329	0.00234091
14	-6.6837	-6.68332	0.00217388
15	-6.68593	-6.68349	0.00203588
16	-6.69132	-6.68398	0.00196646
17	-6.66904	-6.6831	0.00203784
18	-6.67049	-6.6824	0.00204155
19	-6.67515	-6.68202	0.0019695
20	-6.69381	-6.68261	0.00195719
