#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.958705	0.958705	0
2	0.959632	0.959169	0.000327413
3	0.960096	0.959478	0.000333808
4	0.959563	0.959499	0.000251037
5	0.959605	0.95952	0.000201722
6	0.959442	0.959507	0.000168523
7	0.960053	0.959585	0.000161459
8	0.959754	0.959606	0.000142654
9	0.959249	0.959567	0.000132218
10	0.960404	0.95965	0.000143088
11	0.960106	0.959692	0.000135941
12	0.959594	0.959684	0.000124859
13	0.960041	0.959711	0.000118241
14	0.959687	0.959709	0.000109808
15	0.95955	0.959699	0.000103
16	0.959312	0.959675	9.93626e-05
17	0.960433	0.959719	0.000103049
18	0.960359	0.959755	0.000103269
19	0.960115	0.959774	9.95618e-05
20	0.959185	0.959744	9.88415e-05
