#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-5.50352	-5.50352	0
2	-5.48501	-5.49427	0.00654496
3	-5.47629	-5.48827	0.00655603
4	-5.48572	-5.48764	0.0049481
5	-5.48541	-5.48719	0.00397853
6	-5.48798	-5.48732	0.00331763
7	-5.47674	-5.48581	0.00316948
8	-5.48219	-5.48536	0.00280544
9	-5.49267	-5.48617	0.00260872
10	-5.46966	-5.48452	0.00282219
11	-5.47508	-5.48366	0.00269294
12	-5.48567	-5.48383	0.00247371
13	-5.47685	-5.48329	0.00234091
14	-5.4837	-5.48332	0.00217388
15	-5.48593	-5.48349	0.00203588
16	-5.49132	-5.48398	0.00196646
17	-5.46904	-5.4831	0.00203784
18	-5.47049	-5.4824	0.00204155
19	-5.47515	-5.48202	0.0019695
20	-5.49381	-5.48261	0.00195719
