N_BLOCK:	ACCEPTANCE:
1	0.496215
2	0.49599
3	0.496068
4	0.496316
5	0.495983
6	0.495927
7	0.496009
8	0.496099
9	0.496051
10	0.496074
11	0.496097
12	0.496265
13	0.496344
14	0.496354
15	0.496377
16	0.496464
17	0.496466
18	0.496458
19	0.496467
20	0.496436
21	0.496472
22	0.496506
23	0.496524
24	0.49651
25	0.496549
26	0.496612
27	0.496624
28	0.496587
29	0.496551
30	0.496553
31	0.496555
32	0.496574
33	0.49657
34	0.49658
35	0.496612
36	0.496647
37	0.496658
38	0.49666
39	0.496652
40	0.496668
41	0.496673
42	0.496689
43	0.496661
44	0.496679
45	0.496638
46	0.496628
47	0.496626
48	0.496601
49	0.496595
50	0.496609
51	0.4966
52	0.496621
53	0.496626
54	0.496628
55	0.496615
56	0.496602
57	0.496604
58	0.496616
59	0.496613
60	0.496604
61	0.496607
62	0.496584
63	0.496593
64	0.496595
65	0.496595
66	0.496607
67	0.496599
68	0.496589
69	0.496584
70	0.496597
71	0.496597
72	0.496597
73	0.496591
74	0.496582
75	0.496593
76	0.496595
77	0.496607
78	0.496616
79	0.496618
80	0.49661
81	0.496611
82	0.496615
83	0.496607
84	0.496606
85	0.496591
86	0.496603
87	0.496604
88	0.496624
89	0.496624
90	0.496621
91	0.496635
92	0.496625
93	0.496623
94	0.496628
95	0.496629
96	0.496624
97	0.496623
98	0.496612
99	0.496617
100	0.496605
