#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0	0
0.461329	0	0
0.484395	0	0
0.507461	0	0
0.530528	0	0
0.553594	0	0
0.576661	0	0
0.599727	0	0
0.622794	0	0
0.64586	0	0
0.668926	0	0
0.691993	0	0
0.715059	0	0
0.738126	0	0
0.761192	0	0
0.784259	0	0
0.807325	0	0
0.830391	0	0
0.853458	7.76201e-07	7.7231e-07
0.876524	7.57024e-05	4.91142e-06
0.899591	0.00334377	3.16834e-05
0.922657	0.0473005	0.000121992
0.945724	0.292905	0.000444652
0.96879	1.00545	0.000903328
0.991856	2.24129	0.00120561
1.01492	3.62612	0.00104804
1.03799	4.61803	0.00109995
1.06106	4.89688	0.00145395
1.08412	4.49165	0.00145464
1.10719	3.65906	0.00112588
1.13026	2.69535	0.000945117
1.15332	1.8161	0.00063451
1.17639	1.12989	0.000567946
1.19945	0.653156	0.00051779
1.22252	0.35344	0.00046762
1.24559	0.179507	0.000348342
1.26865	0.0891652	0.000248089
1.29172	0.049382	0.000171266
1.31479	0.042319	0.000162624
1.33785	0.0608134	0.000198629
1.36092	0.106441	0.000233703
1.38399	0.184733	0.000269986
1.40705	0.300816	0.000329536
1.43012	0.45357	0.000275403
1.45319	0.628335	0.000322072
1.47625	0.796447	0.000358286
1.49932	0.92053	0.000533322
1.52238	0.970353	0.000601768
1.54545	0.928253	0.000533811
1.56852	0.808273	0.00040606
1.59158	0.640816	0.00025585
1.61465	0.465775	0.000262659
1.63772	0.317047	0.00027778
1.66078	0.219918	0.000341008
1.68385	0.192406	0.000376277
1.70692	0.255135	0.000461026
1.72998	0.433543	0.000490066
1.75305	0.749033	0.000591828
1.77612	1.19745	0.000525322
1.79918	1.72721	0.000389623
1.82225	2.2359	0.000591462
1.84531	2.59745	0.000841281
1.86838	2.71441	0.00110968
1.89145	2.55775	0.000970318
1.91451	2.18069	0.000696812
1.93758	1.68938	0.000400925
1.96065	1.20087	0.00034139
1.98371	0.801719	0.000481861
2.00678	0.542372	0.000555459
2.02985	0.434095	0.000555737
2.05291	0.461191	0.000462818
2.07598	0.586634	0.000364191
2.09905	0.758477	0.000213785
2.12211	0.917479	0.000292972
2.14518	1.01447	0.000400682
2.16824	1.02192	0.000428749
2.19131	0.919944	0.000331116
2.21438	0.780803	0.000238264
2.23744	0.654003	0.000323146
2.26051	0.572623	0.000472268
2.28358	0.573476	0.000539747
