#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-6.69006	-6.69006	0
2	-6.68645	-6.68826	0.00127462
3	-6.68743	-6.68798	0.000879224
4	-6.68987	-6.68845	0.000776737
5	-6.68126	-6.68701	0.00142842
6	-6.68589	-6.68683	0.00120259
7	-6.67917	-6.68573	0.00144517
8	-6.67976	-6.68499	0.00144481
9	-6.68343	-6.68481	0.00129462
10	-6.6828	-6.68461	0.00118071
11	-6.69514	-6.68557	0.00140915
12	-6.68935	-6.68588	0.0013264
13	-6.69121	-6.68629	0.00128613
14	-6.69197	-6.6867	0.00125649
15	-6.69424	-6.6872	0.0012692
16	-6.68491	-6.68706	0.00119793
17	-6.68805	-6.68712	0.00112888
18	-6.68416	-6.68695	0.00107804
19	-6.68808	-6.68701	0.00102292
20	-6.67917	-6.68662	0.00104426
21	-6.68586	-6.68658	0.000995157
22	-6.68016	-6.68629	0.000991812
23	-6.68042	-6.68604	0.000980966
24	-6.68522	-6.686	0.000940676
25	-6.68416	-6.68593	0.000905926
26	-6.68594	-6.68593	0.000871083
27	-6.68395	-6.68586	0.000841913
28	-6.68426	-6.6858	0.00081377
29	-6.68904	-6.68591	0.000793369
30	-6.68543	-6.68589	0.000767087
31	-6.68412	-6.68584	0.000744469
32	-6.68265	-6.68574	0.000727848
33	-6.67691	-6.68547	0.000753396
34	-6.68542	-6.68547	0.000731238
35	-6.68392	-6.68542	0.000711679
36	-6.68205	-6.68533	0.000698065
37	-6.69855	-6.68569	0.000765173
38	-6.68821	-6.68575	0.000747909
39	-6.68628	-6.68577	0.000728855
40	-6.67717	-6.68555	0.000741678
41	-6.68303	-6.68549	0.000726141
42	-6.68691	-6.68552	0.000709635
43	-6.68034	-6.6854	0.000703317
44	-6.68596	-6.68542	0.000687445
45	-6.69606	-6.68565	0.000711683
46	-6.67738	-6.68547	0.000718575
47	-6.68904	-6.68555	0.000707282
48	-6.68614	-6.68556	0.000692654
49	-6.68119	-6.68547	0.000684227
50	-6.6805	-6.68537	0.000677724
51	-6.68722	-6.68541	0.000665399
52	-6.69405	-6.68558	0.000673017
53	-6.68467	-6.68556	0.000660538
54	-6.68021	-6.68546	0.0006557
55	-6.67131	-6.6852	0.000692438
56	-6.68594	-6.68521	0.0006802
57	-6.67967	-6.68512	0.000675184
58	-6.69054	-6.68521	0.000669975
59	-6.68387	-6.68519	0.000659007
60	-6.67186	-6.68497	0.000684455
61	-6.68506	-6.68497	0.000673237
62	-6.67908	-6.68487	0.00066905
63	-6.68536	-6.68488	0.000658476
64	-6.6782	-6.68478	0.000656397
65	-6.68791	-6.68482	0.000648064
66	-6.68926	-6.68489	0.000641716
67	-6.67738	-6.68478	0.000641867
68	-6.6849	-6.68478	0.00063243
69	-6.68074	-6.68472	0.000625969
70	-6.69074	-6.68481	0.000622893
71	-6.68009	-6.68474	0.00061765
72	-6.69	-6.68482	0.000613366
73	-6.67992	-6.68475	0.000608612
74	-6.68157	-6.68471	0.000601899
75	-6.68129	-6.68466	0.000595598
76	-6.69027	-6.68473	0.000592319
77	-6.68272	-6.68471	0.000585202
78	-6.68398	-6.6847	0.000577774
79	-6.68225	-6.68467	0.000571292
80	-6.68977	-6.68473	0.000567707
81	-6.6744	-6.6846	0.000574846
82	-6.67944	-6.68454	0.000571276
83	-6.68054	-6.68449	0.000566425
84	-6.67974	-6.68444	0.000562505
85	-6.67698	-6.68435	0.000562685
86	-6.68486	-6.68435	0.000556174
87	-6.68083	-6.68431	0.000551256
88	-6.68049	-6.68427	0.000546704
89	-6.68447	-6.68427	0.000540566
90	-6.68316	-6.68426	0.000534702
91	-6.68457	-6.68426	0.000528837
92	-6.68642	-6.68429	0.000523608
93	-6.67945	-6.68423	0.00052056
94	-6.68467	-6.68424	0.000515042
95	-6.68413	-6.68424	0.000509622
96	-6.67625	-6.68415	0.000511063
97	-6.68014	-6.68411	0.000507469
98	-6.67912	-6.68406	0.000504846
99	-6.68588	-6.68408	0.000500079
100	-6.6828	-6.68407	0.000495241
