#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.959359	0.959359	0
2	0.959534	0.959447	6.17858e-05
3	0.959499	0.959464	4.35842e-05
4	0.95939	0.959446	3.64027e-05
5	0.959812	0.959519	7.16934e-05
6	0.959584	0.95953	6.05532e-05
7	0.959919	0.959585	7.3162e-05
8	0.959874	0.959621	7.23447e-05
9	0.95969	0.959629	6.47071e-05
10	0.959736	0.95964	5.91226e-05
11	0.959086	0.959589	7.20842e-05
12	0.959416	0.959575	6.7515e-05
13	0.959304	0.959554	6.5462e-05
14	0.959253	0.959533	6.42229e-05
15	0.959153	0.959507	6.47445e-05
16	0.959633	0.959515	6.11771e-05
17	0.959476	0.959513	5.76215e-05
18	0.959652	0.959521	5.49386e-05
19	0.959452	0.959517	5.21644e-05
20	0.95991	0.959537	5.31263e-05
21	0.959568	0.959538	5.06174e-05
22	0.959863	0.959553	5.04291e-05
23	0.959859	0.959566	4.99597e-05
24	0.959622	0.959568	4.79329e-05
25	0.959664	0.959572	4.61686e-05
26	0.959555	0.959572	4.43978e-05
27	0.959648	0.959574	4.28433e-05
28	0.959658	0.959577	4.1418e-05
29	0.959433	0.959572	4.02891e-05
30	0.959593	0.959573	3.89521e-05
31	0.959685	0.959577	3.78607e-05
32	0.95975	0.959582	3.7064e-05
33	0.960028	0.959596	3.83261e-05
34	0.959609	0.959596	3.72008e-05
35	0.959652	0.959598	3.61723e-05
36	0.959787	0.959603	3.55473e-05
37	0.958923	0.959585	3.90521e-05
38	0.959459	0.959581	3.8163e-05
39	0.959532	0.95958	3.72051e-05
40	0.96003	0.959591	3.79384e-05
41	0.959717	0.959594	3.71361e-05
42	0.959515	0.959592	3.63005e-05
43	0.959868	0.959599	3.60186e-05
44	0.959564	0.959598	3.52087e-05
45	0.959072	0.959586	3.63177e-05
46	0.960039	0.959596	3.68378e-05
47	0.959407	0.959592	3.62736e-05
48	0.959584	0.959592	3.55183e-05
49	0.959826	0.959597	3.51119e-05
50	0.959868	0.959602	3.48246e-05
51	0.959512	0.9596	3.41863e-05
52	0.959177	0.959592	3.44833e-05
53	0.959655	0.959593	3.38528e-05
54	0.959863	0.959598	3.35929e-05
55	0.960322	0.959612	3.54673e-05
56	0.959542	0.95961	3.4856e-05
57	0.959897	0.959615	3.46044e-05
58	0.959333	0.959611	3.43494e-05
59	0.959688	0.959612	3.37923e-05
60	0.960294	0.959623	3.50878e-05
61	0.959604	0.959623	3.4514e-05
62	0.959905	0.959627	3.42562e-05
63	0.959581	0.959627	3.37205e-05
64	0.959954	0.959632	3.35796e-05
65	0.959474	0.959629	3.31509e-05
66	0.959391	0.959626	3.28454e-05
67	0.960017	0.959632	3.28714e-05
68	0.959601	0.959631	3.23911e-05
69	0.959838	0.959634	3.20601e-05
70	0.959337	0.95963	3.18824e-05
71	0.959847	0.959633	3.15792e-05
72	0.959366	0.959629	3.13577e-05
73	0.959882	0.959633	3.11183e-05
74	0.959784	0.959635	3.07651e-05
75	0.959803	0.959637	3.04365e-05
76	0.959343	0.959633	3.02812e-05
77	0.959739	0.959634	2.99188e-05
78	0.959659	0.959635	2.95369e-05
79	0.959753	0.959636	2.92006e-05
80	0.959356	0.959633	2.90456e-05
81	0.96017	0.959639	2.9435e-05
82	0.959921	0.959643	2.92751e-05
83	0.959814	0.959645	2.89952e-05
84	0.959874	0.959648	2.87775e-05
85	0.960004	0.959652	2.8742e-05
86	0.959616	0.959651	2.84108e-05
87	0.959844	0.959654	2.81707e-05
88	0.959837	0.959656	2.79276e-05
89	0.959649	0.959656	2.76139e-05
90	0.959719	0.959656	2.73159e-05
91	0.959648	0.959656	2.70159e-05
92	0.959561	0.959655	2.67423e-05
93	0.959901	0.959658	2.65851e-05
94	0.959624	0.959657	2.63047e-05
95	0.959681	0.959658	2.60289e-05
96	0.960073	0.959662	2.61142e-05
97	0.959872	0.959664	2.59346e-05
98	0.959919	0.959667	2.57995e-05
99	0.959564	0.959666	2.55597e-05
100	0.959752	0.959667	2.53188e-05
