#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-5.49006	-5.49006	0
2	-5.48645	-5.48826	0.00127462
3	-5.48743	-5.48798	0.000879224
4	-5.48987	-5.48845	0.000776737
5	-5.48126	-5.48701	0.00142842
6	-5.48589	-5.48683	0.00120259
7	-5.47917	-5.48573	0.00144517
8	-5.47976	-5.48499	0.00144481
9	-5.48343	-5.48481	0.00129462
10	-5.4828	-5.48461	0.00118071
11	-5.49514	-5.48557	0.00140915
12	-5.48935	-5.48588	0.0013264
13	-5.49121	-5.48629	0.00128613
14	-5.49197	-5.4867	0.00125649
15	-5.49424	-5.4872	0.0012692
16	-5.48491	-5.48706	0.00119793
17	-5.48805	-5.48712	0.00112888
18	-5.48416	-5.48695	0.00107804
19	-5.48808	-5.48701	0.00102292
20	-5.47917	-5.48662	0.00104426
21	-5.48586	-5.48658	0.000995157
22	-5.48016	-5.48629	0.000991812
23	-5.48042	-5.48604	0.000980966
24	-5.48522	-5.486	0.000940676
25	-5.48416	-5.48593	0.000905926
26	-5.48594	-5.48593	0.000871083
27	-5.48395	-5.48586	0.000841913
28	-5.48426	-5.4858	0.00081377
29	-5.48904	-5.48591	0.000793369
30	-5.48543	-5.48589	0.000767087
31	-5.48412	-5.48584	0.000744469
32	-5.48265	-5.48574	0.000727848
33	-5.47691	-5.48547	0.000753396
34	-5.48542	-5.48547	0.000731238
35	-5.48392	-5.48542	0.000711679
36	-5.48205	-5.48533	0.000698065
37	-5.49855	-5.48569	0.000765173
38	-5.48821	-5.48575	0.000747909
39	-5.48628	-5.48577	0.000728855
40	-5.47717	-5.48555	0.000741678
41	-5.48303	-5.48549	0.000726141
42	-5.48691	-5.48552	0.000709635
43	-5.48034	-5.4854	0.000703317
44	-5.48596	-5.48542	0.000687445
45	-5.49606	-5.48565	0.000711683
46	-5.47738	-5.48547	0.000718575
47	-5.48904	-5.48555	0.000707282
48	-5.48614	-5.48556	0.000692654
49	-5.48119	-5.48547	0.000684227
50	-5.4805	-5.48537	0.000677724
51	-5.48722	-5.48541	0.000665399
52	-5.49405	-5.48558	0.000673017
53	-5.48467	-5.48556	0.000660538
54	-5.48021	-5.48546	0.0006557
55	-5.47131	-5.4852	0.000692438
56	-5.48594	-5.48521	0.0006802
57	-5.47967	-5.48512	0.000675184
58	-5.49054	-5.48521	0.000669975
59	-5.48387	-5.48519	0.000659007
60	-5.47186	-5.48497	0.000684455
61	-5.48506	-5.48497	0.000673237
62	-5.47908	-5.48487	0.00066905
63	-5.48536	-5.48488	0.000658476
64	-5.4782	-5.48478	0.000656397
65	-5.48791	-5.48482	0.000648064
66	-5.48926	-5.48489	0.000641716
67	-5.47738	-5.48478	0.000641867
68	-5.4849	-5.48478	0.00063243
69	-5.48074	-5.48472	0.000625969
70	-5.49074	-5.48481	0.000622893
71	-5.48009	-5.48474	0.00061765
72	-5.49	-5.48482	0.000613366
73	-5.47992	-5.48475	0.000608612
74	-5.48157	-5.48471	0.000601899
75	-5.48129	-5.48466	0.000595598
76	-5.49027	-5.48473	0.000592319
77	-5.48272	-5.48471	0.000585202
78	-5.48398	-5.4847	0.000577774
79	-5.48225	-5.48467	0.000571292
80	-5.48977	-5.48473	0.000567707
81	-5.4744	-5.4846	0.000574846
82	-5.47944	-5.48454	0.000571276
83	-5.48054	-5.48449	0.000566425
84	-5.47974	-5.48444	0.000562505
85	-5.47698	-5.48435	0.000562685
86	-5.48486	-5.48435	0.000556174
87	-5.48083	-5.48431	0.000551256
88	-5.48049	-5.48427	0.000546704
89	-5.48447	-5.48427	0.000540566
90	-5.48316	-5.48426	0.000534702
91	-5.48457	-5.48426	0.000528837
92	-5.48642	-5.48429	0.000523608
93	-5.47945	-5.48423	0.00052056
94	-5.48467	-5.48424	0.000515042
95	-5.48413	-5.48424	0.000509622
96	-5.47625	-5.48415	0.000511063
97	-5.48014	-5.48411	0.000507469
98	-5.47912	-5.48406	0.000504846
99	-5.48588	-5.48408	0.000500079
100	-5.4828	-5.48407	0.000495241
