#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-6.68218	-6.68218	0
2	-6.67724	-6.67971	0.00174682
3	-6.69926	-6.68623	0.00544761
4	-6.68249	-6.68529	0.00416511
5	-6.68468	-6.68517	0.0033339
6	-6.68932	-6.68586	0.00284916
7	-6.67583	-6.68443	0.00277935
8	-6.6743	-6.68316	0.00270489
9	-6.67927	-6.68273	0.00243879
10	-6.69384	-6.68384	0.00243473
11	-6.68899	-6.68431	0.0022579
12	-6.69712	-6.68538	0.00230818
13	-6.68457	-6.68531	0.00213146
14	-6.67816	-6.6848	0.00203949
15	-6.6752	-6.68416	0.00200141
16	-6.67101	-6.68334	0.00203812
17	-6.70024	-6.68434	0.00214687
18	-6.69659	-6.68502	0.0021328
19	-6.68681	-6.68511	0.00202263
20	-6.68869	-6.68529	0.0019294
