#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.959757	0.959757	0
2	0.960023	0.95989	9.42387e-05
3	0.958885	0.959555	0.000280624
4	0.959739	0.959601	0.000214202
5	0.95965	0.959611	0.000171583
6	0.959416	0.959579	0.000146014
7	0.960026	0.959642	0.000138415
8	0.960148	0.959706	0.000134762
9	0.959924	0.95973	0.000121964
10	0.959163	0.959673	0.000122245
11	0.959429	0.959651	0.000113136
12	0.959026	0.959599	0.00011506
13	0.959616	0.9596	0.000106216
14	0.95998	0.959627	0.000102037
15	0.960099	0.959659	9.99542e-05
16	0.960338	0.959701	0.000102328
17	0.958875	0.959653	0.00010724
18	0.95904	0.959619	0.000106546
19	0.959505	0.959613	0.000101104
20	0.959459	0.959605	9.63407e-05
