#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-5.48218	-5.48218	0
2	-5.47724	-5.47971	0.00174682
3	-5.49926	-5.48623	0.00544761
4	-5.48249	-5.48529	0.00416511
5	-5.48468	-5.48517	0.0033339
6	-5.48932	-5.48586	0.00284916
7	-5.47583	-5.48443	0.00277935
8	-5.4743	-5.48316	0.00270489
9	-5.47927	-5.48273	0.00243879
10	-5.49384	-5.48384	0.00243473
11	-5.48899	-5.48431	0.0022579
12	-5.49712	-5.48538	0.00230818
13	-5.48457	-5.48531	0.00213146
14	-5.47816	-5.4848	0.00203949
15	-5.4752	-5.48416	0.00200141
16	-5.47101	-5.48334	0.00203812
17	-5.50024	-5.48434	0.00214687
18	-5.49659	-5.48502	0.0021328
19	-5.48681	-5.48511	0.00202263
20	-5.48869	-5.48529	0.0019294
