#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0	0
0.461329	0	0
0.484395	0	0
0.507461	0	0
0.530528	0	0
0.553594	0	0
0.576661	0	0
0.599727	0	0
0.622794	0	0
0.64586	0	0
0.668926	0	0
0.691993	0	0
0.715059	0	0
0.738126	0	0
0.761192	0	0
0.784259	0	0
0.807325	0	0
0.830391	0	0
0.853458	0	3.80257e-07
0.876524	0	3.27848e-06
0.899591	0	2.1647e-05
0.922657	0	7.98561e-05
0.945724	0.380274	0.000195037
0.96879	1.08777	0.000346717
0.991856	2.42278	0.000477424
1.01492	3.30731	0.00056049
1.03799	5.16712	0.000627235
1.06106	4.34149	0.000668503
1.08412	3.9671	0.000645436
1.10719	4.17644	0.000559362
1.13026	2.40564	0.000455061
1.15332	2.18291	0.000362615
1.17639	1.0289	0.000288318
1.19945	0.594049	0.000225141
1.22252	0.34323	0.000169455
1.24559	0.11025	0.000122109
1.26865	0.141751	8.58919e-05
1.29172	0.102583	6.3541e-05
1.31479	0.165077	5.71633e-05
1.33785	0.0637926	6.55389e-05
1.36092	0.184999	8.32035e-05
1.38399	0.208757	0.000105246
1.40705	0.288604	0.000127863
1.43012	0.530942	0.000148701
1.45319	0.785062	0.00016921
1.47625	0.708432	0.000190894
1.49932	0.610637	0.000210809
1.52238	1.11077	0.000217845
1.54545	0.646861	0.000206656
1.56852	0.697903	0.000182938
1.59158	0.406779	0.000156179
1.61465	0.834566	0.000132987
1.63772	0.405693	0.000114522
1.66078	0.166138	0.000103076
1.68385	0.343503	0.000105081
1.70692	0.35401	0.000122994
1.72998	0.440443	0.000152479
1.75305	0.746094	0.000182819
1.77612	1.65384	0.000205386
1.79918	1.82455	0.000227559
1.82225	2.00346	0.000264355
1.84531	2.34142	0.000309896
1.86838	2.6623	0.000332451
1.89145	2.30947	0.000311586
1.91451	1.87874	0.000260935
1.93758	1.48291	0.000211308
1.96065	1.44843	0.000180457
1.98371	1.065	0.000164951
2.00678	0.441981	0.000153018
2.02985	0.47386	0.000141495
2.05291	0.558722	0.000131722
2.07598	0.62641	0.000125717
2.09905	0.899633	0.000129192
2.12211	0.893044	0.000142692
2.14518	0.936476	0.000156871
2.16824	0.880091	0.000160321
2.19131	0.993413	0.000144716
2.21438	0.949487	0.000125443
2.23744	0.711936	0.000118861
2.26051	0.585046	0.000127834
2.28358	0.50719	0.000138666
