#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0	0
0.461329	0	0
0.484395	0	0
0.507461	0	0
0.530528	0	0
0.553594	0	0
0.576661	0	0
0.599727	0	0
0.622794	0	0
0.64586	0	0
0.668926	0	0
0.691993	0	0
0.715059	0	0
0.738126	0	0
0.761192	0	0
0.784259	0	0
0.807325	0	0
0.830391	0	0
0.853458	1.5524e-05	4.81995e-07
0.876524	4.41843e-05	4.81733e-06
0.899591	0.00380578	3.08095e-05
0.922657	0.0473018	0.000142437
0.945724	0.291138	0.000472957
0.96879	1.00917	0.000958879
0.991856	2.25069	0.00116708
1.01492	3.61923	0.000964053
1.03799	4.61994	0.00108758
1.06106	4.88852	0.0014018
1.08412	4.50141	0.00166799
1.10719	3.65453	0.00136137
1.13026	2.6836	0.000950465
1.15332	1.81248	0.000619329
1.17639	1.1336	0.000625677
1.19945	0.654182	0.000557843
1.22252	0.355372	0.000460092
1.24559	0.184242	0.000386015
1.26865	0.0879846	0.000286831
1.29172	0.0501563	0.000208919
1.31479	0.0431445	0.00019015
1.33785	0.0615854	0.000199306
1.36092	0.106541	0.00028298
1.38399	0.185704	0.000303787
1.40705	0.30345	0.000302019
1.43012	0.456509	0.000285941
1.45319	0.630416	0.000292889
1.47625	0.793355	0.00038715
1.49932	0.916362	0.000541045
1.52238	0.962612	0.000644425
1.54545	0.930272	0.000506691
1.56852	0.80698	0.000446032
1.59158	0.64055	0.00029232
1.61465	0.467471	0.000241356
1.63772	0.317632	0.000304275
1.66078	0.220536	0.000347782
1.68385	0.193109	0.000432086
1.70692	0.254876	0.000495886
1.72998	0.439237	0.00061852
1.75305	0.751477	0.000622432
1.77612	1.20182	0.000532295
1.79918	1.73898	0.000414922
1.82225	2.23166	0.000625336
1.84531	2.58973	0.00094992
1.86838	2.70154	0.00122099
1.89145	2.54871	0.00113388
1.91451	2.1803	0.000740326
1.93758	1.69101	0.000446624
1.96065	1.20087	0.000431564
1.98371	0.804096	0.000536293
2.00678	0.545362	0.000627122
2.02985	0.437627	0.000599754
2.05291	0.463189	0.000482888
2.07598	0.588287	0.000409108
2.09905	0.758349	0.000243927
2.12211	0.915457	0.000280375
2.14518	1.0146	0.0004157
2.16824	1.01826	0.000473885
2.19131	0.919367	0.000357355
2.21438	0.780486	0.000249238
2.23744	0.655494	0.000302879
2.26051	0.576806	0.000490156
2.28358	0.577206	0.000630045
