#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-0.00048	-0.00048	0
2	-0.000296	-0.000388	6.50538e-05
3	-5.6e-05	-0.000277333	0.000100228
4	-0.001532	-0.000591	0.000281852
5	6.8e-05	-0.0004592	0.000254439
6	-0.000396	-0.000448667	0.00021225
7	-0.002696	-0.000769714	0.00034849
8	0.000168	-0.0006525	0.000324042
9	-0.000536	-0.000639556	0.000288296
10	-0.000536	-0.0006292	0.000259652
11	0.000276	-0.000546909	0.000248746
12	0.00162	-0.000366333	0.00028615
13	-0.002108	-0.000500308	0.000293833
14	6.8e-05	-0.000459714	0.000275635
15	0.000844	-0.0003728	0.000270615
16	-4e-05	-0.000352	0.0002545
17	-0.000464	-0.000358588	0.000239615
18	-0.000316	-0.000356222	0.000226314
19	-0.000596	-0.000368842	0.000214755
20	0.000632	-0.0003188	0.000209766
