BLOCK	ACTUAL_V	V_AVE	ERROR
1	-0.475845	-0.475845	0
2	-0.453093	-0.464469	0.00804405
3	-0.440064	-0.456334	0.00853687
4	-0.387657	-0.439164	0.016189
5	-0.428783	-0.437088	0.0130836
6	-0.471482	-0.442821	0.0120938
7	-0.457065	-0.444855	0.0105359
8	-0.448011	-0.44525	0.00922628
9	-0.465852	-0.447539	0.00848035
10	-0.440198	-0.446805	0.00766402
11	-0.468912	-0.448815	0.00722599
12	-0.428582	-0.447129	0.00681769
13	-0.44709	-0.447126	0.00629325
14	-0.417648	-0.44502	0.00618595
15	-0.461428	-0.446114	0.00586947
16	-0.451131	-0.446427	0.005511
17	-0.436992	-0.445872	0.00521469
18	-0.427618	-0.444858	0.00502264
19	-0.479711	-0.446693	0.00508222
20	-0.454041	-0.44706	0.00484138
21	-0.384952	-0.444103	0.00543969
22	-0.464389	-0.445025	0.00527001
23	-0.381154	-0.442248	0.00572597
24	-0.441895	-0.442233	0.00548741
25	-0.466253	-0.443194	0.00535136
26	-0.408837	-0.441872	0.00530619
27	-0.450996	-0.44221	0.00512041
28	-0.44173	-0.442193	0.00493757
29	-0.430617	-0.441794	0.00478342
30	-0.40396	-0.440533	0.00478733
31	-0.433712	-0.440313	0.00463795
32	-0.426298	-0.439875	0.00451365
33	-0.453444	-0.440286	0.00439556
34	-0.451511	-0.440616	0.00427866
35	-0.465195	-0.441318	0.00421365
36	-0.425955	-0.440892	0.00411816
37	-0.457402	-0.441338	0.00403096
38	-0.395306	-0.440126	0.00410287
39	-0.434969	-0.439994	0.0039998
40	-0.449027	-0.44022	0.00390617
41	-0.491246	-0.441465	0.00400425
42	-0.434696	-0.441303	0.00391215
43	-0.44342	-0.441353	0.00382148
44	-0.446185	-0.441462	0.00373621
45	-0.456196	-0.44179	0.0036675
46	-0.395348	-0.44078	0.00372415
47	-0.323104	-0.438277	0.0044069
48	-0.402102	-0.437523	0.00437906
49	-0.454447	-0.437868	0.00430329
50	-0.463598	-0.438383	0.00424788
51	-0.446628	-0.438545	0.00416766
52	-0.409283	-0.437982	0.00412533
53	-0.445434	-0.438122	0.00404989
54	-0.455791	-0.43845	0.00398809
55	-0.460086	-0.438843	0.00393493
56	-0.476807	-0.439521	0.00392263
57	-0.468972	-0.440038	0.00388769
58	-0.458891	-0.440363	0.00383422
59	-0.431147	-0.440206	0.00377242
60	-0.462286	-0.440574	0.00372745
61	-0.430221	-0.440405	0.00367021
62	-0.439023	-0.440382	0.00361108
63	-0.449857	-0.440533	0.00355689
64	-0.465493	-0.440923	0.00352263
65	-0.44356	-0.440963	0.00346867
66	-0.427128	-0.440754	0.00342244
67	-0.404364	-0.440211	0.00341418
