BLOCK	ACTUAL_V	V_AVE	ERROR
1	0.73461	0.73461	0
2	0.925314	0.829962	0.067424
3	0.495963	0.718629	0.101409
4	0.774496	0.732596	0.0770124
5	0.824689	0.751014	0.0637745
6	0.674935	0.738334	0.0543913
7	0.886926	0.759562	0.0505941
8	0.631392	0.74354	0.0467377
9	0.431431	0.708862	0.0528673
10	1.14954	0.75293	0.063338
11	0.398101	0.720673	0.0652794
12	0.605221	0.711052	0.0605442
13	0.58166	0.701098	0.0566992
14	1.08899	0.728805	0.0590319
15	0.329105	0.702158	0.0608139
16	0.714833	0.70295	0.0570182
17	1.42492	0.745419	0.067656
18	0.770056	0.746788	0.0639112
19	0.395122	0.728279	0.0631707
20	0.421787	0.712955	0.061843
21	0.682218	0.711491	0.0589154
22	0.381728	0.696502	0.058113
23	0.70825	0.697012	0.0555885
24	0.691866	0.696798	0.0532728
25	0.392052	0.684608	0.052518
26	0.644682	0.683073	0.0505205
27	0.597265	0.679894	0.0487492
28	0.465076	0.672222	0.0476081
29	0.666795	0.672035	0.0459668
30	0.879077	0.678937	0.0449497
31	0.757766	0.681479	0.0435715
32	0.59098	0.678651	0.0423016
33	0.395152	0.67006	0.041883
34	0.357205	0.660859	0.0416497
35	0.755463	0.663562	0.0405473
36	0.242098	0.651854	0.0410764
37	1.51451	0.675169	0.0461107
38	0.636469	0.674151	0.0449085
39	0.544721	0.670832	0.0438794
40	0.893612	0.676402	0.0431345
41	1.01414	0.684639	0.0428618
42	0.425843	0.678477	0.0422818
43	0.268056	0.668933	0.0423621
44	0.296743	0.660474	0.0422355
45	0.308986	0.652663	0.0420129
46	0.831993	0.656562	0.0412801
47	0.812413	0.659878	0.0405348
48	1.61839	0.679846	0.044337
49	0.873435	0.683797	0.0436078
50	0.391564	0.677953	0.0431256
51	0.845755	0.681243	0.0424053
52	0.714239	0.681877	0.0415945
53	0.91261	0.686231	0.0410369
54	0.0973002	0.675325	0.041701
55	0.567731	0.673368	0.0409887
56	0.706986	0.673969	0.0402612
57	0.189155	0.665463	0.0404433
58	0.361384	0.660221	0.0400843
59	0.721538	0.66126	0.0394184
60	0.320986	0.655589	0.0391673
61	1.49792	0.669397	0.040887
62	0.718758	0.670193	0.0402353
63	0.625501	0.669484	0.0396029
64	1.7091	0.685728	0.0421842
65	0.239685	0.678866	0.0420896
66	0.629032	0.678111	0.0414587
67	0.862136	0.680857	0.0409308
68	0.428951	0.677153	0.0404961
69	0.522823	0.674916	0.039971
70	0.741504	0.675868	0.0394113
71	0.754653	0.676977	0.0388718
72	0.954102	0.680826	0.038522
73	0.234249	0.674709	0.038477
74	0.45578	0.67175	0.0380706
75	0.822055	0.673754	0.0376157
76	0.525949	0.671809	0.037171
77	0.784534	0.673273	0.0367171
78	1.18239	0.679801	0.0368219
79	1.10987	0.685244	0.036756
80	0.480811	0.682689	0.0363853
81	0.550123	0.681052	0.0359729
82	0.347734	0.676988	0.0357631
83	0.801171	0.678484	0.0353635
84	1.01309	0.682467	0.0351662
85	0.265687	0.677564	0.0350926
86	0.635649	0.677077	0.034688
87	0.515914	0.675224	0.0343387
88	0.540935	0.673698	0.0339824
89	0.583994	0.67269	0.0336155
90	0.597656	0.671856	0.0332523
91	0.595189	0.671014	0.0328976
92	0.687666	0.671195	0.0325405
93	0.251167	0.666679	0.0325025
94	1.02028	0.67044	0.0323737
95	0.63637	0.670082	0.0320349
96	2.01418	0.684083	0.0346259
97	0.915778	0.686471	0.0343512
98	0.587907	0.685465	0.0340154
99	0.748224	0.686099	0.0336777
100	0.965131	0.68889	0.0334564
101	0.550882	0.687523	0.033153
102	0.383739	0.684545	0.0329615
103	0.574751	0.683479	0.0326587
104	0.942446	0.685969	0.0324395
105	0.864698	0.687671	0.0321751
106	0.392564	0.684887	0.0319918
107	0.271961	0.681028	0.0319247
108	0.342734	0.677896	0.0317824
109	0.72706	0.678347	0.0314941
110	0.602599	0.677658	0.0312153
111	0.882065	0.6795	0.0309883
112	0.29875	0.6761	0.0308976
113	0.735676	0.676627	0.0306286
114	0.704492	0.676872	0.0303609
115	0.279619	0.673417	0.0302928
116	0.360128	0.670717	0.0301518
117	0.98602	0.673412	0.0300143
118	1.3374	0.679039	0.0302828
119	0.391412	0.676622	0.0301246
120	0.922374	0.67867	0.0299431
121	0.61104	0.678111	0.0297009
122	0.616972	0.677609	0.0294617
123	1.06799	0.680783	0.0293926
124	0.287329	0.67761	0.0293263
125	0.52737	0.676408	0.0291163
126	0.533107	0.675271	0.0289075
127	1.12644	0.678824	0.0288973
128	0.920247	0.68071	0.028733
129	0.534397	0.679576	0.0285327
130	0.00916483	0.674419	0.0287755
131	2.16482	0.685796	0.0307227
132	0.406352	0.683679	0.0305628
133	0.811782	0.684642	0.0303482
134	0.614719	0.68412	0.0301262
135	0.976639	0.686287	0.0299808
136	0.110445	0.682053	0.0300579
137	0.151021	0.678177	0.0300874
138	0.422922	0.676327	0.0299262
139	0.713524	0.676594	0.0297121
140	0.5441	0.675648	0.0295149
141	1.38222	0.680659	0.0297279
142	0.320005	0.678119	0.0296269
143	0.659386	0.677988	0.02942
144	0.805488	0.678874	0.029229
145	1.35858	0.683561	0.0294009
146	0.796393	0.684334	0.0292097
147	0.691441	0.684383	0.029011
148	0.597156	0.683793	0.028821
149	0.576436	0.683073	0.0286366
150	0.771712	0.683664	0.0284518
151	0.48665	0.682359	0.0282932
152	0.542254	0.681437	0.0281221
153	0.727036	0.681735	0.0279399
154	0.636673	0.681443	0.02776
155	0.406208	0.679667	0.0276376
156	0.365209	0.677651	0.0275339
157	0.672755	0.67762	0.0273585
158	0.330565	0.675423	0.0272734
159	0.813981	0.676295	0.0271158
160	0.660614	0.676197	0.0269465
161	0.500347	0.675105	0.0268012
162	1.44919	0.679883	0.0270584
163	0.534348	0.67899	0.0269071
164	0.407755	0.677336	0.0267938
165	0.843564	0.678344	0.0266504
166	0.363782	0.676449	0.0265571
167	0.885518	0.677701	0.0264276
168	0.926254	0.67918	0.0263117
169	0.634281	0.678914	0.0261573
170	0.42596	0.677426	0.0260457
171	0.602249	0.676987	0.0258971
172	0.5021	0.67597	0.0257665
173	0.3395	0.674025	0.0256909
174	1.06947	0.676298	0.0256435
175	0.404324	0.674744	0.0255441
176	1.34035	0.678525	0.0256774
177	1.38122	0.682495	0.0258374
178	0.72466	0.682732	0.0256933
179	0.518633	0.681816	0.0255661
180	0.965304	0.683391	0.0254725
181	0.97934	0.685026	0.0253842
182	0.457715	0.683777	0.0252755
183	1.20008	0.686598	0.0252943
184	0.708052	0.686715	0.0251571
185	0.787746	0.687261	0.0250271
186	0.438385	0.685923	0.0249283
187	1.5255	0.690412	0.025196
188	0.902937	0.691543	0.0250873
189	0.738252	0.69179	0.0249558
190	1.02695	0.693554	0.0248867
191	0.846295	0.694354	0.0247693
192	0.701469	0.694391	0.0246403
193	0.64801	0.69415	0.0245138
194	1.01095	0.695783	0.0244418
195	0.991862	0.697302	0.0243636
196	0.408214	0.695827	0.0242839
197	0.123343	0.692921	0.0243338
198	0.18691	0.690365	0.0243448
199	0.652392	0.690174	0.0242232
200	0.97233	0.691585	0.0241431
201	0.101703	0.68865	0.0242007
202	0.955264	0.68997	0.0241169
203	1.367	0.693305	0.0242276
204	0.204436	0.690909	0.0242271
205	0.742985	0.691163	0.0241102
206	0.987777	0.692603	0.0240361
207	0.56563	0.69199	0.0239278
208	0.954165	0.69325	0.023846
209	0.43195	0.692	0.0237646
210	0.569019	0.691414	0.0236587
211	0.780138	0.691835	0.0235503
212	1.33741	0.69488	0.0236353
213	1.14064	0.696973	0.0236168
214	0.31599	0.695192	0.0235734
215	0.484141	0.694211	0.0234842
216	0.483207	0.693234	0.0233958
217	0.497178	0.69233	0.0233054
218	0.940487	0.693469	0.0232263
219	0.569307	0.692902	0.0231271
220	0.576435	0.692372	0.0230281
221	0.398504	0.691043	0.0229622
222	0.295395	0.68926	0.0229279
223	0.49482	0.688388	0.0228416
224	1.08206	0.690146	0.0228072
225	0.335761	0.688571	0.0227601
226	0.862244	0.689339	0.0226724
227	0.557585	0.688759	0.0225799
228	1.00271	0.690136	0.0225228
229	1.7027	0.694558	0.0228544
230	0.418699	0.693358	0.0227865
231	0.914338	0.694315	0.0227079
232	0.536908	0.693636	0.0226202
233	0.272301	0.691828	0.0225952
234	1.0479	0.69335	0.0225499
235	0.51623	0.692596	0.0224665
236	0.349999	0.691144	0.0224182
237	1.34117	0.693887	0.0224907
238	0.00371171	0.690987	0.0225824
239	0.625472	0.690713	0.0224896
240	0.954933	0.691814	0.0224228
241	1.05946	0.693339	0.0223816
242	0.416045	0.692194	0.0223184
243	0.680431	0.692145	0.0222266
244	0.89622	0.692982	0.0221513
245	0.679723	0.692927	0.0220609
246	0.777901	0.693273	0.0219739
247	0.609324	0.692933	0.0218876
248	0.894054	0.693744	0.0218144
249	1.07294	0.695267	0.0217798
250	0.672505	0.695176	0.0216929
251	0.53391	0.694533	0.021616
252	0.906651	0.695375	0.0215466
253	0.313859	0.693867	0.0215141
254	0.345195	0.692494	0.0214732
255	0.709952	0.692563	0.0213891
256	1.45215	0.69553	0.0215104
257	0.614515	0.695215	0.021429
258	0.770498	0.695506	0.0213479
259	0.737666	0.695669	0.0212661
260	0.404246	0.694548	0.0212138
261	1.32724	0.696973	0.0212706
262	0.601611	0.696609	0.0211925
263	0.342788	0.695263	0.0211546
264	0.871264	0.69593	0.021085
265	0.640437	0.695721	0.0210065
266	0.964114	0.696729	0.0209517
267	0.700283	0.696743	0.0208732
268	0.835493	0.697261	0.0208018
269	0.774283	0.697547	0.0207264
270	0.351525	0.696265	0.0206892
271	0.520533	0.695617	0.020623
272	0.942977	0.696526	0.0205673
273	0.636665	0.696307	0.0204931
274	0.0796935	0.694057	0.0205415
275	0.685057	0.694024	0.0204668
276	0.68125	0.693978	0.0203927
277	0.629745	0.693746	0.0203204
278	0.351601	0.692515	0.0202846
279	1.07043	0.693869	0.020257
280	0.683788	0.693833	0.0201847
281	0.603137	0.693511	0.0201155
282	1.5897	0.696689	0.0202936
283	0.415864	0.695696	0.0202462
284	0.907286	0.696441	0.0201886
285	0.708026	0.696482	0.0201178
286	0.350298	0.695272	0.0200838
287	0.780705	0.695569	0.020016
288	0.575019	0.695151	0.0199509
289	0.620617	0.694893	0.0198836
290	0.928421	0.695698	0.0198313
291	0.803336	0.696068	0.0197666
292	0.674982	0.695996	0.019699
293	0.543142	0.695474	0.0196387
294	0.817174	0.695888	0.0195763
295	0.610721	0.695599	0.019512
296	0.712509	0.695656	0.0194462
297	0.582259	0.695275	0.0193845
298	0.737556	0.695417	0.0193199
299	0.287614	0.694053	0.0193034
300	0.285847	0.692692	0.019287
301	0.166125	0.690943	0.0193021
302	0.562987	0.690519	0.0192428
303	0.583693	0.690166	0.0191825
304	0.382642	0.689155	0.0191461
305	0.320422	0.687946	0.0191214
306	0.610258	0.687692	0.0190606
307	0.667175	0.687625	0.0189987
308	0.852272	0.68816	0.0189445
309	1.14789	0.689647	0.0189415
310	0.866795	0.690219	0.018889
311	0.396364	0.689274	0.0188519
312	1.01033	0.690303	0.0188195
313	0.551851	0.689861	0.0187646
314	1.25881	0.691673	0.0187921
315	0.981629	0.692593	0.018755
316	0.670202	0.692522	0.0186958
317	1.16384	0.694009	0.0186958
318	0.867473	0.694555	0.018645
319	0.441814	0.693762	0.0186034
320	0.891059	0.694379	0.0185555
321	0.116874	0.69258	0.0185847
322	0.569211	0.692197	0.0185309
323	0.677963	0.692153	0.0184736
324	0.668269	0.692079	0.0184167
325	1.46307	0.694451	0.0185122
326	0.67365	0.694387	0.0184555
327	0.803037	0.69472	0.0184021
328	0.894666	0.695329	0.0183561
329	1.05446	0.696421	0.0183327
330	0.73012	0.696523	0.0182774
331	0.569644	0.69614	0.0182262
332	0.300616	0.694948	0.0182102
333	1.49263	0.697344	0.0183124
334	1.86561	0.700841	0.0185886
335	1.22218	0.702398	0.0185982
336	0.828427	0.702773	0.0185466
337	0.769865	0.702972	0.0184926
338	0.513738	0.702412	0.0184464
339	1.16967	0.70379	0.0184434
340	0.164219	0.702203	0.0184573
341	1.18451	0.703618	0.0184573
342	0.713849	0.703648	0.0184034
343	0.450397	0.702909	0.0183645
344	0.477936	0.702255	0.0183228
345	0.984315	0.703073	0.0182879
346	0.498036	0.70248	0.0182446
347	0.5651	0.702084	0.0181964
348	0.354368	0.701085	0.0181715
349	0.256959	0.699813	0.0181639
350	0.859759	0.70027	0.0181178
351	0.614905	0.700026	0.0180678
352	0.896726	0.700585	0.0180251
353	0.404646	0.699747	0.0179935
354	0.340368	0.698732	0.0179713
355	0.867614	0.699207	0.017927
356	1.56333	0.701635	0.0180402
357	0.565689	0.701254	0.0179937
358	0.737039	0.701354	0.0179437
359	1.10827	0.702487	0.0179295
360	0.857863	0.702919	0.0178849
361	0.415701	0.702123	0.017853
362	0.624305	0.701908	0.017805
363	0.420388	0.701133	0.0177728
364	0.968703	0.701868	0.0177392
365	0.104831	0.700232	0.0177658
366	-0.0493662	0.698184	0.017835
367	0.223215	0.69689	0.0178333
368	0.264236	0.695714	0.0178235
369	0.956	0.69642	0.0177892
370	0.745641	0.696553	0.0177416
371	0.672636	0.696488	0.0176939
372	0.521203	0.696017	0.0176526
373	1.20983	0.697394	0.0176589
374	0.690142	0.697375	0.0176117
375	0.594041	0.6971	0.0175669
376	0.562607	0.696742	0.0175238
377	0.253002	0.695565	0.0175168
378	0.990737	0.696346	0.0174879
379	0.544498	0.695945	0.0174463
380	0.409543	0.695191	0.0174167
381	0.497895	0.694673	0.0173787
382	0.577999	0.694368	0.0173359
383	0.411856	0.69363	0.0173063
384	0.699332	0.693645	0.0172612
385	0.22549	0.692429	0.0172592
386	1.52319	0.694582	0.0173481
387	1.02585	0.695438	0.0173244
388	0.621944	0.695248	0.0172808
389	1.08002	0.696237	0.0172647
390	0.807731	0.696523	0.0172228
391	0.35606	0.695652	0.0172007
392	0.832361	0.696001	0.0171604
393	0.307832	0.695013	0.0171451
394	1.15638	0.696184	0.0171415
395	0.541987	0.695794	0.0171026
396	0.343385	0.694904	0.0170825
397	0.833912	0.695254	0.0170431
398	0.157571	0.693903	0.0170537
399	0.753045	0.694051	0.0170116
400	0.839957	0.694416	0.016973
401	0.609674	0.694205	0.016932
402	0.628431	0.694041	0.0168907
403	0.283727	0.693023	0.0168794
404	0.582385	0.692749	0.0168399
405	0.71512	0.692805	0.0167984
406	0.101502	0.691348	0.01682
407	0.472919	0.690811	0.0167872
408	1.03668	0.691659	0.0167675
409	1.46333	0.693546	0.0168323
410	0.443665	0.692936	0.0168023
411	0.961772	0.693591	0.0167741
412	1.07198	0.694509	0.0167585
413	0.529826	0.69411	0.0167227
414	1.14876	0.695208	0.0167183
415	0.251632	0.69414	0.0167122
416	0.61659	0.693953	0.016673
417	0.744971	0.694075	0.0166335
418	1.5593	0.696145	0.016722
419	0.902217	0.696637	0.0166893
420	0.995888	0.69735	0.0166648
421	0.362153	0.696553	0.0166442
422	0.395737	0.695841	0.01662
423	0.437108	0.695229	0.016592
424	0.258426	0.694199	0.0165848
425	0.756579	0.694346	0.0165464
426	0.550831	0.694009	0.016511
427	0.822232	0.694309	0.0164751
428	0.481862	0.693813	0.0164441
429	0.718912	0.693871	0.0164059
430	0.730172	0.693956	0.0163679
431	0.723839	0.694025	0.0163301
432	0.660294	0.693947	0.0162925
433	0.0947552	0.692563	0.0163135
434	0.825372	0.692869	0.0162788
435	0.623758	0.69271	0.0162421
436	0.457651	0.692171	0.0162138
437	0.140297	0.690908	0.0162258
438	0.66452	0.690848	0.0161889
439	0.645551	0.690745	0.0161524
440	0.708651	0.690785	0.0161157
441	1.19819	0.691936	0.0161202
442	0.761777	0.692094	0.0160845
443	0.733285	0.692187	0.0160484
444	0.238451	0.691165	0.0160448
445	1.04311	0.691956	0.0160282
446	0.687026	0.691945	0.0159923
