TEMP	SIGMA	MU	ENERGY
3	0.595401	0.882695	-0.438965
2.85714	0.703536	0.794092	-0.444305
2.72109	0.703536	0.794092	-0.444305
2.59151	0.703536	0.794092	-0.444305
2.46811	0.703536	0.794092	-0.444305
2.35058	0.703536	0.794092	-0.444305
2.23865	0.703536	0.794092	-0.444305
2.13204	0.703536	0.794092	-0.444305
2.03052	0.703536	0.794092	-0.444305
1.93383	0.703536	0.794092	-0.444305
1.84174	0.703536	0.794092	-0.444305
1.75404	0.703536	0.794092	-0.444305
1.67051	0.703536	0.794092	-0.444305
1.59096	0.703536	0.794092	-0.444305
1.5152	0.703536	0.794092	-0.444305
1.44305	0.703536	0.794092	-0.444305
1.37433	0.703536	0.794092	-0.444305
1.30889	0.703536	0.794092	-0.444305
1.24656	0.703536	0.794092	-0.444305
1.1872	0.703536	0.794092	-0.444305
1.13067	0.703536	0.794092	-0.444305
1.07683	0.703536	0.794092	-0.444305
1.02555	0.703536	0.794092	-0.444305
0.976714	0.703536	0.794092	-0.444305
0.930204	0.703536	0.794092	-0.444305
0.885908	0.66643	0.863293	-0.451387
0.843722	0.66643	0.863293	-0.451387
0.803545	0.66643	0.863293	-0.451387
0.765281	0.66643	0.863293	-0.451387
0.728839	0.66643	0.863293	-0.451387
0.694132	0.66643	0.863293	-0.451387
0.661078	0.66643	0.863293	-0.451387
0.629598	0.66643	0.863293	-0.451387
0.599618	0.66643	0.863293	-0.451387
0.571064	0.66643	0.863293	-0.451387
0.543871	0.66643	0.863293	-0.451387
0.517972	0.66643	0.863293	-0.451387
0.493307	0.66643	0.863293	-0.451387
0.469816	0.66643	0.863293	-0.451387
0.447444	0.66643	0.863293	-0.451387
0.426137	0.66643	0.863293	-0.451387
0.405845	0.66643	0.863293	-0.451387
0.386519	0.66643	0.863293	-0.451387
0.368113	0.66643	0.863293	-0.451387
0.350584	0.66643	0.863293	-0.451387
0.33389	0.66643	0.863293	-0.451387
0.31799	0.66643	0.863293	-0.451387
0.302848	0.66643	0.863293	-0.451387
0.288426	0.66643	0.863293	-0.451387
0.274692	0.66643	0.863293	-0.451387
0.261611	0.66643	0.863293	-0.451387
0.249154	0.66643	0.863293	-0.451387
0.237289	0.66643	0.863293	-0.451387
0.22599	0.66643	0.863293	-0.451387
0.215228	0.66643	0.863293	-0.451387
0.204979	0.66643	0.863293	-0.451387
0.195218	0.66643	0.863293	-0.451387
0.185922	0.66643	0.863293	-0.451387
0.177069	0.66643	0.863293	-0.451387
0.168637	0.66643	0.863293	-0.451387
0.160607	0.66643	0.863293	-0.451387
0.152959	0.66643	0.863293	-0.451387
0.145675	0.66643	0.863293	-0.451387
0.138738	0.66643	0.863293	-0.451387
0.132131	0.66643	0.863293	-0.451387
0.125839	0.66643	0.863293	-0.451387
0.119847	0.66643	0.863293	-0.451387
0.11414	0.66643	0.863293	-0.451387
0.108705	0.66643	0.863293	-0.451387
0.103528	0.531347	0.81785	-0.451432
0.0985985	0.531347	0.81785	-0.451432
0.0939033	0.531347	0.81785	-0.451432
0.0894317	0.531347	0.81785	-0.451432
0.0851731	0.531347	0.81785	-0.451432
0.0811172	0.531347	0.81785	-0.451432
0.0772545	0.531347	0.81785	-0.451432
0.0735757	0.531347	0.81785	-0.451432
0.0700721	0.531347	0.81785	-0.451432
0.0667353	0.531347	0.81785	-0.451432
0.0635575	0.531347	0.81785	-0.451432
0.0605309	0.531347	0.81785	-0.451432
0.0576485	0.531347	0.81785	-0.451432
0.0549033	0.531347	0.81785	-0.451432
0.0522889	0.531347	0.81785	-0.451432
0.0497989	0.531347	0.81785	-0.451432
0.0474276	0.531347	0.81785	-0.451432
0.0451691	0.531347	0.81785	-0.451432
0.0430182	0.531347	0.81785	-0.451432
0.0409697	0.531347	0.81785	-0.451432
0.0390188	0.531347	0.81785	-0.451432
0.0371607	0.531347	0.81785	-0.451432
0.0353912	0.531347	0.81785	-0.451432
0.0337059	0.531347	0.81785	-0.451432
0.0321008	0.531347	0.81785	-0.451432
0.0305722	0.531347	0.81785	-0.451432
0.0291164	0.531347	0.81785	-0.451432
0.0277299	0.531347	0.81785	-0.451432
0.0264094	0.531347	0.81785	-0.451432
0.0251519	0.531347	0.81785	-0.451432
0.0239541	0.531347	0.81785	-0.451432
0.0228135	0.531347	0.81785	-0.451432
0.0217271	0.531347	0.81785	-0.451432
0.0206925	0.531347	0.81785	-0.451432
0.0197071	0.531347	0.81785	-0.451432
0.0187687	0.531347	0.81785	-0.451432
0.017875	0.531347	0.81785	-0.451432
0.0170238	0.531347	0.81785	-0.451432
0.0162131	0.531347	0.81785	-0.451432
0.0154411	0.531347	0.81785	-0.451432
0.0147058	0.531347	0.81785	-0.451432
0.0140055	0.623716	0.807023	-0.453208
0.0133386	0.623716	0.807023	-0.453208
0.0127034	0.623716	0.807023	-0.453208
0.0120985	0.623716	0.807023	-0.453208
0.0115224	0.623716	0.807023	-0.453208
0.0109737	0.623716	0.807023	-0.453208
0.0104511	0.623716	0.807023	-0.453208
0.00995344	0.623716	0.807023	-0.453208
0.00947947	0.623716	0.807023	-0.453208
0.00902806	0.623716	0.807023	-0.453208
0.00859816	0.623716	0.807023	-0.453208
0.00818872	0.611014	0.8175	-0.454349
0.00779878	0.611014	0.8175	-0.454349
0.00742741	0.611014	0.8175	-0.454349
0.00707372	0.611014	0.8175	-0.454349
0.00673688	0.611014	0.8175	-0.454349
0.00641608	0.611014	0.8175	-0.454349
0.00611055	0.611014	0.8175	-0.454349
0.00581957	0.611014	0.8175	-0.454349
0.00554245	0.611014	0.8175	-0.454349
0.00527852	0.611014	0.8175	-0.454349
0.00502716	0.611014	0.8175	-0.454349
0.00478778	0.611014	0.8175	-0.454349
0.00455979	0.611014	0.8175	-0.454349
0.00434265	0.634228	0.807166	-0.454481
0.00413586	0.634228	0.807166	-0.454481
0.00393891	0.634228	0.807166	-0.454481
0.00375135	0.634228	0.807166	-0.454481
0.00357271	0.634228	0.807166	-0.454481
0.00340258	0.634228	0.807166	-0.454481
0.00324055	0.634228	0.807166	-0.454481
0.00308624	0.634228	0.807166	-0.454481
0.00293928	0.634228	0.807166	-0.454481
0.00279931	0.634228	0.807166	-0.454481
