BLOCK	ACTUAL_V	V_AVE	ERROR
1	0.395616	0.395616	0
2	-0.0408664	0.177375	0.15432
3	-0.0223482	0.110801	0.116357
4	1.22492	0.389332	0.256516
5	0.860454	0.483556	0.221844
6	1.04048	0.576376	0.203363
7	0.555744	0.573428	0.174333
8	-0.0894203	0.490572	0.171102
9	1.49709	0.602407	0.185065
10	1.00709	0.642876	0.170925
11	1.01232	0.676461	0.158652
12	-0.143259	0.608151	0.15946
13	-0.0480361	0.557675	0.154977
14	-0.180377	0.504957	0.152611
15	0.242613	0.487468	0.143435
16	1.00942	0.52009	0.138131
17	0.493702	0.518537	0.130014
18	0.124946	0.496671	0.124616
19	-0.19517	0.460259	0.123263
20	0.134005	0.443946	0.118174
21	0.0873576	0.426965	0.11376
22	0.0943622	0.411847	0.109589
23	0.120963	0.3992	0.105552
24	0.293042	0.394777	0.101246
25	0.142791	0.384697	0.0976968
26	-0.233893	0.360905	0.0967929
27	0.439878	0.36383	0.0932522
28	-0.0466585	0.34917	0.0910668
29	-0.0198673	0.336445	0.0888112
30	-0.242837	0.317135	0.0879249
31	-0.117404	0.303118	0.0861988
32	-0.222997	0.286677	0.0850585
33	-0.0713502	0.275827	0.08317
34	-0.0894754	0.265083	0.0814149
35	-0.217765	0.251288	0.0802491
36	-0.276098	0.236638	0.0793458
37	-0.232329	0.223963	0.0782071
38	0.0899291	0.220436	0.0762286
39	-0.248345	0.208416	0.0752157
40	0.0175875	0.203645	0.0734864
41	-0.0240503	0.198092	0.0719036
42	-0.288022	0.186518	0.0711171
43	-0.184951	0.177879	0.0699859
44	-0.171658	0.169935	0.0688447
45	-0.310176	0.159266	0.0681365
46	-0.129144	0.152996	0.0669431
47	-0.247834	0.144468	0.0660598
48	-0.205272	0.137181	0.0650841
49	-0.206646	0.130164	0.064133
50	-0.0634751	0.126292	0.0629672
51	-0.249592	0.118921	0.0621624
52	-0.191164	0.112958	0.0612523
53	-0.250527	0.1061	0.0604793
54	-0.290802	0.0987499	0.0598043
55	-0.214081	0.0930621	0.0589868
56	-0.187806	0.0880466	0.0581463
57	-0.349149	0.0803765	0.0576299
58	-0.0795937	0.0776184	0.0567022
59	-0.245474	0.0721422	0.056005
60	-0.304507	0.0658648	0.0554223
61	-0.288605	0.0600538	0.0548175
62	-0.328479	0.0537871	0.0542903
63	-0.320977	0.0478385	0.0537535
64	-0.186579	0.0441757	0.0530382
65	-0.269787	0.0393455	0.0524418
66	-0.316249	0.0339577	0.0519232
67	-0.385108	0.027703	0.0515236
68	-0.377928	0.0217378	0.05111
69	-0.290271	0.017216	0.0505689
70	-0.361153	0.0118107	0.0501346
71	-0.279911	0.00770195	0.0495965
72	-0.36722	0.00249471	0.0491803
73	-0.381128	-0.0027604	0.0487866
74	-0.346589	-0.00740674	0.048348
75	-0.289124	-0.011163	0.0478491
76	-0.334716	-0.0154202	0.0474085
77	-0.224292	-0.0181329	0.0468703
78	-0.291201	-0.0216338	0.0464
79	-0.37338	-0.0260862	0.0460258
80	-0.383798	-0.0305576	0.0456671
81	-0.400661	-0.0351268	0.0453314
82	-0.408283	-0.0396775	0.0450064
83	-0.368112	-0.0436345	0.0446377
84	-0.39804	-0.0478536	0.0443053
85	-0.404755	-0.0520525	0.0439826
86	-0.345372	-0.0554632	0.0436032
87	-0.404235	-0.0594721	0.0432859
88	-0.287248	-0.0620604	0.0428713
89	-0.397135	-0.0658253	0.0425546
90	-0.366587	-0.0691671	0.0422128
