BLOCK	ACTUAL_V	V_AVE	ERROR
1	0.738254	0.738254	0
2	0.825139	0.781697	0.0307184
3	0.311392	0.624928	0.129629
4	0.458894	0.58342	0.103654
5	1.14956	0.696648	0.130893
6	1.39769	0.813489	0.152559
7	1.17564	0.865224	0.139261
8	1.00444	0.882626	0.122936
9	1.27377	0.926086	0.116706
10	1.35909	0.969387	0.112782
11	1.07281	0.978789	0.102921
12	1.37525	1.01183	0.0995055
13	0.984913	1.00976	0.0918727
14	1.09762	1.01603	0.0855245
15	0.894978	1.00796	0.0802027
16	1.24815	1.02297	0.076582
17	1.35263	1.04237	0.0744918
18	0.764039	1.0269	0.0719403
19	0.919687	1.02126	0.0683749
20	0.600745	1.00023	0.0681123
21	1.11706	1.0058	0.0650956
22	0.730621	0.993289	0.063327
23	0.975331	0.992508	0.0605785
24	0.651137	0.978284	0.0597009
25	0.548411	0.961089	0.0597378
26	0.48786	0.942888	0.0601491
27	0.745725	0.935586	0.0583629
28	1.07281	0.940487	0.0564839
29	0.681872	0.931569	0.0552357
30	0.458508	0.9158	0.0555998
31	0.618773	0.906219	0.0546256
32	0.578241	0.89597	0.0538715
33	0.566785	0.885994	0.0531546
34	0.840488	0.884656	0.0516081
35	0.685959	0.878979	0.0504448
36	0.616587	0.87169	0.0495673
37	0.791532	0.869524	0.048275
38	0.525856	0.86048	0.0478443
39	0.892458	0.8613	0.0466245
40	0.756739	0.858686	0.0455321
41	1.10787	0.864763	0.0448254
42	0.969086	0.867247	0.0438268
43	0.961659	0.869443	0.0428626
44	0.577445	0.862807	0.0423991
45	0.803547	0.86149	0.0414773
46	0.616413	0.856162	0.0409164
47	0.77733	0.854485	0.0400802
48	0.663659	0.850509	0.0394418
49	0.520697	0.843778	0.039207
50	0.612596	0.839155	0.0386946
51	0.620138	0.83486	0.0381734
52	0.8409	0.834976	0.0374395
53	0.737207	0.833132	0.0367785
54	0.680015	0.830296	0.0362065
55	0.490431	0.824117	0.0360717
56	0.633124	0.820706	0.0355884
57	0.893189	0.821978	0.0349868
58	1.21063	0.828679	0.0350194
59	0.519981	0.823447	0.0348145
60	0.519581	0.818382	0.0346007
61	0.702903	0.816489	0.0340852
62	0.726823	0.815043	0.0335661
63	1.27026	0.822268	0.0338021
64	1.06357	0.826039	0.0334835
65	0.863531	0.826615	0.0329734
66	0.627216	0.823594	0.0326119
67	0.660566	0.821161	0.0322158
68	0.556919	0.817275	0.0319755
69	0.59614	0.81407	0.0316723
70	0.726563	0.81282	0.0312445
71	0.815837	0.812863	0.0308045
72	0.632538	0.810358	0.0304783
73	0.667959	0.808407	0.0301231
74	1.01048	0.811138	0.0298396
75	0.57044	0.807929	0.0296138
76	0.526961	0.804232	0.029454
77	1.15071	0.808732	0.0294132
78	0.689624	0.807205	0.0290757
79	0.656543	0.805298	0.0287701
80	0.610504	0.802863	0.0285134
81	0.695369	0.801536	0.0281922
82	0.609408	0.799192	0.0279456
83	0.536515	0.796028	0.0277875
84	0.665056	0.794469	0.0275004
85	0.635507	0.792598	0.0272404
86	0.668861	0.79116	0.0269616
87	0.579255	0.788724	0.0267615
88	0.772953	0.788545	0.026458
89	0.657891	0.787077	0.0262014
90	0.64577	0.785507	0.0259573
91	0.599108	0.783458	0.0257527
92	0.588595	0.78134	0.0255598
93	0.684891	0.780303	0.025306
94	0.610745	0.778499	0.025101
95	0.765768	0.778365	0.0248371
96	0.704341	0.777594	0.0245903
97	0.653223	0.776312	0.0243702
98	0.645939	0.774982	0.0241579
99	0.685113	0.774074	0.0239309
100	0.622392	0.772557	0.0237396
101	0.972753	0.774539	0.0235872
102	0.592436	0.772754	0.0234234
103	0.580553	0.770888	0.0232702
104	0.67024	0.76992	0.0230665
105	0.670134	0.76897	0.0228664
106	0.636679	0.767722	0.0226847
107	0.648128	0.766604	0.0225002
108	0.621244	0.765258	0.0223321
109	0.694483	0.764609	0.0221367
110	0.717383	0.764179	0.0219396
111	0.603021	0.762728	0.0217899
112	0.58572	0.761147	0.0216526
113	0.621658	0.759913	0.0214962
114	0.606173	0.758564	0.0213499
115	0.602923	0.757211	0.0212071
116	0.575847	0.755647	0.0210818
117	0.658298	0.754815	0.020918
118	0.616623	0.753644	0.0207735
119	0.640867	0.752696	0.0206206
120	0.61881	0.751581	0.0204789
121	0.628992	0.750568	0.0203347
122	0.605466	0.749378	0.0202028
123	0.585083	0.748042	0.0200826
124	0.622479	0.74703	0.0199462
125	0.628206	0.746079	0.0198092
126	0.544876	0.744482	0.0197163
127	0.592217	0.743283	0.0195974
128	0.637941	0.74246	0.0194616
129	0.603137	0.74138	0.0193407
130	0.623344	0.740472	0.0192132
131	0.638895	0.739697	0.0190822
132	0.635029	0.738904	0.0189541
133	0.626252	0.738057	0.0188305
134	0.608602	0.737091	0.0187147
135	0.642277	0.736389	0.0185893
136	0.617138	0.735512	0.0184733
137	0.61328	0.73462	0.01836
138	0.633809	0.733889	0.0182415
139	0.628468	0.733131	0.018126
140	0.616818	0.7323	0.0180155
141	0.610171	0.731434	0.0179086
142	0.600187	0.730509	0.0178063
143	0.619538	0.729733	0.0176987
144	0.648927	0.729172	0.0175847
145	0.569605	0.728072	0.0174978
146	0.602696	0.727213	0.017399
147	0.615541	0.726453	0.0172972
148	0.621859	0.725747	0.0171948
149	0.623962	0.725064	0.0170929
150	0.616076	0.724337	0.0169944
