BLOCK	ACTUAL_V	V_AVE	ERROR
1	1.1398	1.1398	0
2	0.931746	1.03577	0.0735583
3	0.636032	0.902526	0.119337
4	1.24454	0.988028	0.116163
5	0.711275	0.932677	0.105295
6	0.753485	0.902812	0.0918834
7	0.291551	0.815489	0.112866
8	-0.121558	0.698358	0.147505
9	0.350123	0.659665	0.136096
10	0.879164	0.681615	0.124244
11	0.349487	0.651422	0.11656
12	0.343872	0.625793	0.109628
13	0.436003	0.611193	0.102163
14	0.318981	0.590321	0.096974
15	0.990496	0.616999	0.0941072
16	0.367439	0.601402	0.0895088
17	0.486642	0.594651	0.0844977
18	-0.379353	0.54054	0.0955717
19	-0.0969144	0.50699	0.0962505
20	-0.0460953	0.479335	0.095328
21	0.116113	0.462039	0.0923443
22	-0.0264577	0.439835	0.0907772
23	0.569051	0.445453	0.087004
24	0.126417	0.43216	0.0843883
25	0.543879	0.436628	0.081131
26	0.435064	0.436568	0.0780106
27	-0.498747	0.401927	0.0824547
28	-0.203744	0.380296	0.0822984
29	0.780441	0.394094	0.0806089
30	0.438911	0.395588	0.0779358
31	0.931299	0.412869	0.0773139
32	0.692073	0.421594	0.0753885
33	0.749515	0.431531	0.073756
34	0.136995	0.422868	0.0720937
35	0.658526	0.429601	0.0703476
36	0.9317	0.443548	0.0697624
37	0.955156	0.457376	0.0692336
38	0.803599	0.466487	0.0680086
39	0.918552	0.478078	0.0672453
40	0.505141	0.478755	0.0655676
41	-0.436712	0.456426	0.0676635
42	-0.603434	0.431192	0.0706015
43	-0.46544	0.41034	0.071973
44	-0.729385	0.384437	0.0748534
45	-0.745788	0.359321	0.0772889
46	-0.905871	0.331817	0.0803537
47	-0.514175	0.313817	0.0806349
48	-0.484886	0.297177	0.0806536
49	-1.09637	0.268737	0.083872
50	-1.08369	0.241689	0.0864461
51	-0.399421	0.229118	0.0856602
52	-0.909742	0.207217	0.0867676
53	-0.764774	0.188877	0.087047
54	-0.825003	0.170102	0.0874365
55	-0.79122	0.152623	0.0875763
56	-0.610533	0.138995	0.0870663
57	-0.463479	0.128426	0.086178
58	0.245445	0.130443	0.0847158
59	0.952047	0.144369	0.0844167
60	0.690457	0.15347	0.0834989
61	0.925016	0.166119	0.0830826
62	0.725532	0.175141	0.082231
63	0.184924	0.175297	0.0809259
64	0.584779	0.181695	0.0799139
65	0.475345	0.186213	0.0788121
66	0.783786	0.195267	0.0781363
67	0.514012	0.200024	0.0771148
68	0.547631	0.205136	0.07615
69	0.816524	0.213997	0.0755601
70	0.340322	0.215801	0.0745022
71	0.620372	0.221499	0.0736705
72	0.895493	0.23086	0.0732396
73	0.782451	0.238417	0.0726251
74	0.477387	0.241646	0.0717154
75	0.706762	0.247847	0.0710268
76	0.760046	0.254587	0.0704113
77	0.164478	0.253417	0.0695066
78	0.545804	0.257165	0.0687165
79	0.813097	0.264202	0.068206
80	0.702212	0.269677	0.0675728
81	0.860077	0.276966	0.0671306
82	0.95904	0.285284	0.0668253
83	0.70092	0.290292	0.0662075
84	0.738938	0.295633	0.0656344
85	0.800928	0.301578	0.0651309
86	0.805397	0.307436	0.0646365
87	0.742266	0.312434	0.0640865
88	0.759157	0.31751	0.0635589
89	0.698161	0.321787	0.0629885
90	0.744128	0.32648	0.0624632
91	0.706713	0.330658	0.0619164
92	0.841187	0.336208	0.0614916
93	0.677886	0.339882	0.06094
94	0.88993	0.345733	0.060572
95	0.723275	0.349707	0.0600647
96	0.784498	0.354236	0.0596095
97	0.791128	0.35874	0.0591649
98	0.673567	0.361953	0.0586483
99	0.759311	0.365967	0.0581931
100	0.774139	0.370048	0.0577541
101	0.414066	0.370484	0.0571839
102	0.829505	0.374984	0.0568001
103	0.673913	0.377887	0.0563228
104	0.841	0.38234	0.0559569
105	0.828744	0.386591	0.0555853
106	0.821745	0.390696	0.0552123
107	0.735915	0.393923	0.0547905
108	0.750094	0.397221	0.0543823
109	0.756914	0.400521	0.0539834
110	0.749197	0.40369	0.0535856
111	0.846228	0.407677	0.053251
112	0.750023	0.410734	0.0528632
113	0.818502	0.414342	0.0525184
114	0.725957	0.417076	0.0521288
115	0.7776	0.420211	0.0517697
116	0.803256	0.423513	0.0514286
117	0.791729	0.42666	0.0510852
118	0.804875	0.429865	0.0507528
119	0.801214	0.432986	0.0504221
120	0.771974	0.435811	0.050081
121	0.847089	0.43921	0.0497823
122	0.782355	0.442022	0.0494537
123	0.812236	0.445032	0.0491431
124	0.756145	0.447541	0.0488108
125	0.836464	0.450653	0.0485194
126	0.756924	0.453083	0.0481952
127	0.816096	0.455942	0.0479004
128	0.757642	0.458299	0.0475841
129	0.801832	0.460962	0.0472897
130	0.771883	0.463354	0.0469864
131	0.817804	0.466059	0.0467055
132	0.783926	0.468467	0.0464137
133	0.75972	0.470657	0.0461164
134	0.757957	0.472801	0.045822
135	0.741116	0.474789	0.0455257
136	0.802933	0.477202	0.0452548
137	0.786108	0.479456	0.0449807
138	0.797965	0.481764	0.0447139
139	0.817322	0.484178	0.0444573
140	0.783649	0.486318	0.0441912
141	0.814918	0.488648	0.0439392
142	0.75127	0.490497	0.0436687
143	0.826117	0.492844	0.0434263
144	0.773036	0.49479	0.0431683
145	0.772697	0.496707	0.0429131
146	0.769517	0.498575	0.0426599
147	0.804664	0.500658	0.0424205
148	0.807372	0.50273	0.0421844
149	0.805686	0.504763	0.0419503
150	0.76784	0.506517	0.0417073
