BLOCK	ACTUAL_P	P_AVE	ERROR
1	0.449522	0.449522	0
2	0.832973	0.641248	0.13557
3	1.06171	0.781401	0.145822
4	0.779369	0.780893	0.109367
5	1.12001	0.848716	0.106467
6	0.364311	0.767982	0.11534
7	0.178453	0.683764	0.12591
8	0.356944	0.642911	0.116611
9	0.472137	0.623936	0.105186
10	1.00353	0.661895	0.101286
11	0.866094	0.680459	0.0937635
12	0.870428	0.69629	0.0872761
13	0.518829	0.682639	0.0816231
14	0.925073	0.699956	0.0776081
15	0.511279	0.687377	0.0734464
16	1.10761	0.713641	0.073402
17	1.66108	0.769373	0.0877266
18	1.45454	0.807438	0.090736
19	0.895076	0.81205	0.0860776
20	0.734373	0.808166	0.0818612
21	1.18804	0.826256	0.0799368
22	0.703045	0.820655	0.0764992
23	0.587738	0.810528	0.0738404
24	0.966992	0.817048	0.0710509
25	0.082602	0.78767	0.0740337
26	0.786352	0.787619	0.0711863
27	1.23144	0.804057	0.070422
28	0.455705	0.791616	0.0689971
29	0.125826	0.768657	0.0703339
30	0.792603	0.769456	0.0679939
31	0.527345	0.761646	0.0662476
32	0.715938	0.760217	0.0641928
33	0.735135	0.759457	0.062252
34	0.761235	0.759509	0.0604211
35	0.612741	0.755316	0.0588401
36	0.332426	0.743569	0.0583665
37	0.244351	0.730077	0.0583277
38	0.384804	0.720991	0.0574961
39	0.893879	0.725424	0.0561925
40	0.850542	0.728552	0.0548746
41	0.770801	0.729582	0.0535459
42	0.790782	0.731039	0.0522908
43	0.90272	0.735032	0.051227
44	0.299802	0.72514	0.0510088
45	0.542593	0.721084	0.0500363
46	0.3518	0.713056	0.0495884
47	0.193926	0.70201	0.0497482
48	0.928951	0.706738	0.0489359
49	1.0172	0.713074	0.0483457
50	0.27673	0.704348	0.04816
51	0.714882	0.704554	0.0472161
52	1.266	0.715351	0.0475266
53	0.706447	0.715183	0.0466301
54	0.744171	0.71572	0.0457697
55	0.716775	0.715739	0.0449375
56	1.08805	0.722388	0.0446242
57	1.07473	0.728569	0.0442674
58	0.867511	0.730965	0.0435689
59	0.822268	0.732512	0.0428579
60	0.702982	0.73202	0.0421465
61	0.886742	0.734557	0.0415318
62	0.483751	0.730511	0.0410585
63	0.934273	0.733746	0.0405339
64	0.700049	0.733219	0.039904
65	0.456738	0.728966	0.0395162
66	0.856792	0.730902	0.0389649
67	0.728789	0.730871	0.0383833
68	0.545751	0.728148	0.0379153
69	1.0357	0.732606	0.0376268
70	0.492935	0.729182	0.0372448
71	0.913948	0.731784	0.036811
72	0.23624	0.724902	0.0369376
73	0.510515	0.721965	0.0365481
74	0.690986	0.721546	0.0360566
75	1.46101	0.731406	0.0368993
76	0.538069	0.728862	0.0365013
77	0.531576	0.7263	0.0361171
78	0.47091	0.723025	0.0358022
79	0.518875	0.720441	0.0354421
80	0.25438	0.714615	0.0354747
81	0.496781	0.711926	0.0351385
82	0.715094	0.711965	0.03471
83	1.47543	0.721163	0.0354897
84	0.907506	0.723382	0.0351365
85	0.696248	0.723062	0.0347245
86	1.07389	0.727142	0.0345596
87	0.993102	0.730199	0.0342973
88	0.781826	0.730785	0.0339125
89	0.818407	0.73177	0.0335458
90	0.945595	0.734146	0.0332571
91	0.454288	0.73107	0.0330335
92	0.484555	0.728391	0.0327829
93	1.20222	0.733486	0.032824
