Gen	Best	Mean	Err
0	13.8245	13.8608	0.12318
1	12.8679	12.8679	4.12953e-07
2	12.3184	12.3358	0.0633294
3	11.7462	11.7688	0.0606564
4	10.9992	11.035	0.0950894
5	10.4102	10.4447	0.0737567
6	10.0774	10.0774	4.61696e-07
7	9.6486	9.67002	0.0609234
8	9.22771	9.23001	0.0130421
9	9.06359	9.07643	0.0385242
10	8.27578	8.29453	0.0817044
11	8.24238	8.24705	0.0115913
12	8.01596	8.01596	3.57628e-07
13	7.89285	7.89285	3.03925e-07
14	7.77744	7.77744	6.52936e-07
15	7.7277	7.7277	2.92002e-07
16	7.44934	7.44934	3.95372e-07
17	7.19862	7.21788	0.0432916
18	7.19862	7.19862	4.4604e-07
19	7.19862	7.19862	4.4604e-07
20	7.19862	7.19862	4.4604e-07
21	7.19862	7.19862	4.4604e-07
22	7.174	7.17449	0.00344721
23	7.174	7.174	3.26468e-07
24	7.15856	7.16149	0.0060576
25	6.97937	6.98019	0.00464558
26	6.69265	6.71449	0.0741293
27	6.41611	6.43388	0.0602665
28	6.34204	6.34278	0.00736944
29	6.15612	6.16874	0.0460148
30	6.12007	6.12655	0.0138502
31	6.03059	6.03886	0.0236151
32	5.7432	5.7432	4.21468e-07
33	5.7432	5.7432	4.21468e-07
34	5.7432	5.7432	4.21468e-07
35	5.7432	5.7432	4.21468e-07
36	5.73844	5.73887	0.00136208
37	5.73844	5.73844	1.88486e-07
38	5.71535	5.71535	3.57628e-07
39	5.63672	5.63829	0.0110087
40	5.63672	5.63672	3.67428e-07
41	5.57065	5.57065	5.96046e-08
42	5.57065	5.57065	5.96046e-08
43	5.57065	5.57065	5.96046e-08
44	5.45496	5.45496	3.90854e-07
45	5.45496	5.45496	3.90854e-07
46	5.45496	5.45496	3.90854e-07
47	5.45496	5.45496	3.90854e-07
48	5.45496	5.45496	3.90854e-07
49	5.45496	5.45496	3.90854e-07
50	5.45496	5.45496	3.90854e-07
51	5.45496	5.45496	3.90854e-07
52	5.45496	5.45496	3.90854e-07
53	5.45496	5.45496	3.90854e-07
54	5.45496	5.45496	3.90854e-07
55	5.45496	5.45496	3.90854e-07
56	5.45496	5.45496	3.90854e-07
57	5.45496	5.45496	3.90854e-07
58	5.45496	5.45496	3.90854e-07
59	5.45496	5.45496	3.90854e-07
60	5.45496	5.45496	3.90854e-07
61	5.45496	5.45496	3.90854e-07
62	5.45496	5.45496	3.90854e-07
63	5.45496	5.45496	3.90854e-07
64	5.45496	5.45496	3.90854e-07
65	5.45496	5.45496	3.90854e-07
66	5.45496	5.45496	3.90854e-07
67	5.45496	5.45496	3.90854e-07
68	5.45496	5.45496	3.90854e-07
69	5.45496	5.45496	3.90854e-07
70	5.45496	5.45496	3.90854e-07
71	5.45496	5.45496	3.90854e-07
72	5.45496	5.45496	3.90854e-07
73	5.45496	5.45496	3.90854e-07
74	5.45496	5.45496	3.90854e-07
75	5.45496	5.45496	3.90854e-07
76	5.45496	5.45496	3.90854e-07
77	5.44567	5.44567	2.06477e-07
78	5.44567	5.44567	2.06477e-07
79	5.44567	5.44567	2.06477e-07
80	5.44567	5.44567	2.06477e-07
81	5.44567	5.44567	2.06477e-07
82	5.44567	5.44567	2.06477e-07
83	5.44567	5.44567	2.06477e-07
84	5.44567	5.44567	2.06477e-07
85	5.44567	5.44567	2.06477e-07
86	5.44567	5.44567	2.06477e-07
87	5.44567	5.44567	2.06477e-07
88	5.44567	5.44567	2.06477e-07
89	5.44567	5.44567	2.06477e-07
90	5.44567	5.44567	2.06477e-07
91	5.44567	5.44567	2.06477e-07
92	5.44029	5.44034	0.000535446
93	5.44029	5.44029	2.92002e-07
94	5.44029	5.44029	2.92002e-07
95	5.44029	5.44029	2.92002e-07
96	5.44029	5.44029	2.92002e-07
97	5.44029	5.44029	2.92002e-07
98	5.44029	5.44029	2.92002e-07
99	5.34612	5.36589	0.0383581
100	5.34612	5.34612	2.59811e-07
101	5.34612	5.34612	2.59811e-07
102	5.34612	5.34612	2.59811e-07
103	5.34612	5.34612	2.59811e-07
104	5.34612	5.34612	2.59811e-07
105	5.34612	5.34612	2.59811e-07
106	5.34612	5.34612	2.59811e-07
107	5.34612	5.34612	2.59811e-07
108	5.34612	5.34612	2.59811e-07
109	5.34612	5.34612	2.59811e-07
110	5.34612	5.34612	2.59811e-07
111	5.34612	5.34612	2.59811e-07
112	5.34612	5.34612	2.59811e-07
113	5.34612	5.34612	2.59811e-07
114	5.34612	5.34612	2.59811e-07
115	5.34612	5.34612	2.59811e-07
116	5.34612	5.34612	2.59811e-07
117	5.34612	5.34612	2.59811e-07
118	5.34612	5.34612	2.59811e-07
119	5.28198	5.28646	0.0163655
120	5.28198	5.28198	3.15398e-07
121	5.28198	5.28198	3.15398e-07
122	5.28198	5.28198	3.15398e-07
123	5.28198	5.28198	3.15398e-07
124	5.28198	5.28198	3.15398e-07
125	5.28198	5.28198	3.15398e-07
126	5.28198	5.28198	3.15398e-07
127	5.15479	5.1637	0.0324501
128	5.15479	5.15479	2.92002e-07
129	5.15479	5.15479	2.92002e-07
130	5.15479	5.15479	2.92002e-07
131	5.15479	5.15479	2.92002e-07
132	5.15479	5.15479	2.92002e-07
133	5.15479	5.15479	2.92002e-07
134	5.15479	5.15479	2.92002e-07
