#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0532004	0.0532004	0
2	0.0532021	0.0532012	6.18624e-07
3	0.0531978	0.0532001	1.02337e-06
4	0.0531993	0.0531999	7.85423e-07
5	0.0531986	0.0531996	6.69764e-07
6	0.0532009	0.0531998	5.88162e-07
7	0.053197	0.0531994	6.28683e-07
8	0.0531962	0.053199	6.69018e-07
9	0.0532008	0.0531992	6.23809e-07
10	0.0531989	0.0531992	5.62453e-07
11	0.0531962	0.0531989	5.73774e-07
12	0.053199	0.0531989	5.26028e-07
13	0.0532037	0.0531993	6.00876e-07
14	0.0532029	0.0531996	6.10023e-07
15	0.0532003	0.0531996	5.71429e-07
16	0.0531966	0.0531994	5.66168e-07
17	0.053201	0.0531995	5.40251e-07
18	0.0531958	0.0531993	5.48184e-07
19	0.0532021	0.0531994	5.392e-07
20	0.0532042	0.0531997	5.62686e-07
