#DISTANCE:	AVE_GOFR:	ERROR:
0	0.491219	0.0977479
0.064633	0.0935655	0.0563212
0.129266	0.0603251	0.050195
0.193899	0.0309778	0.0498201
0.258532	0.0322111	0.0509422
0.323165	0.0467828	0.0499774
0.387798	0.0541501	0.0512493
0.452431	0.0445682	0.0500667
0.517064	0.0437645	0.0512705
0.581697	0.0549827	0.0491768
0.64633	0.0465001	0.049897
0.710963	0.0367074	0.049019
0.775596	0.0398003	0.0486704
0.84023	0.0353223	0.0502994
0.904863	0.0391833	0.0490256
0.969496	0.0411052	0.0499982
1.03413	0.0420873	0.0501909
1.09876	0.0481063	0.0501166
1.16339	0.046555	0.0489558
1.22803	0.0434821	0.0504142
1.29266	0.0462263	0.0497067
1.35729	0.0409644	0.0501537
1.42193	0.0398839	0.0496077
1.48656	0.0434794	0.0489514
1.55119	0.0448216	0.0500398
1.61583	0.0401166	0.0498034
1.68046	0.0381567	0.0501116
1.74509	0.0416385	0.0500084
1.80973	0.041926	0.0501763
1.87436	0.043898	0.0502043
1.93899	0.0419469	0.0501054
2.00362	0.0440563	0.0502967
2.06826	0.0445388	0.049404
2.13289	0.041093	0.0500199
2.19752	0.042918	0.0498872
2.26216	0.0425264	0.0494535
2.32679	0.0452261	0.0497728
2.39142	0.0429239	0.0498074
2.45606	0.0416805	0.049576
2.52069	0.0416258	0.0502274
2.58532	0.0426236	0.0497896
2.64995	0.0406259	0.0499239
2.71459	0.0428461	0.0500026
2.77922	0.0413892	0.0497691
2.84385	0.0432707	0.050096
2.90849	0.0404933	0.0499731
2.97312	0.0436168	0.0499872
3.03775	0.0422835	0.0497369
3.10239	0.0436206	0.0500346
3.16702	0.0438584	0.0496855
3.23165	0.0438294	0.0498676
3.29629	0.0422468	0.0499746
3.36092	0.0428309	0.0496879
3.42555	0.0432851	0.0498859
3.49018	0.0427586	0.0498069
3.55482	0.0420291	0.0499819
3.61945	0.0433413	0.0499364
3.68408	0.0432336	0.0498982
3.74872	0.0438893	0.0500963
3.81335	0.0418252	0.0502839
3.87798	0.0425565	0.0499126
3.94262	0.0428	0.0498062
4.00725	0.0419165	0.0497874
4.07188	0.0419332	0.0496255
4.13651	0.0427683	0.0500811
4.20115	0.0420067	0.0500608
4.26578	0.0420858	0.0499253
4.33041	0.0419621	0.0500091
4.39505	0.0423627	0.0500645
4.45968	0.0425762	0.0499555
4.52431	0.0433645	0.0500548
4.58895	0.0432917	0.0500837
4.65358	0.043279	0.0498621
4.71821	0.0430288	0.0498147
4.78285	0.0434843	0.049916
4.84748	0.0435656	0.0500187
4.91211	0.0419212	0.0499867
4.97674	0.0416914	0.0500836
5.04138	0.0425402	0.049908
5.10601	0.042254	0.0498111
5.17064	0.0440238	0.0499346
5.23528	0.0424407	0.0499556
5.29991	0.041811	0.0499292
5.36454	0.0435475	0.0500124
5.42918	0.0428287	0.0497109
5.49381	0.0425943	0.0498105
5.55844	0.0432345	0.0498882
5.62307	0.0425727	0.0499709
5.68771	0.0426892	0.0499532
5.75234	0.0417406	0.0498596
5.81697	0.0420561	0.0498306
5.88161	0.0427065	0.0497557
5.94624	0.0414819	0.0500532
6.01087	0.0423849	0.0498427
6.07551	0.0424094	0.0497116
6.14014	0.0429143	0.0499731
6.20477	0.0419474	0.0499167
6.2694	0.0417918	0.0498057
6.33404	0.0433778	0.0499114
6.39867	0.0431056	0.0499491
