#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.064633	0	0
0.129266	0	0
0.193899	0	0
0.258532	0	0
0.323165	0	0
0.387798	0	0
0.452431	0	0
0.517064	0	0
0.581697	0	0
0.64633	0	0
0.710963	0	0
0.775596	0	0
0.84023	0.000957892	4.0785e-05
0.904863	0.149779	0.000492962
0.969496	1.08127	0.00142218
1.03413	2.02733	0.00260414
1.09876	2.23769	0.00260609
1.16339	2.05212	0.0022118
1.22803	1.86798	0.00177993
1.29266	1.60161	0.00137512
1.35729	1.43312	0.00143433
1.42193	1.33751	0.00111673
1.48656	1.24268	0.00109013
1.55119	1.19071	0.000916691
1.61583	1.1288	0.00102339
1.68046	1.11188	0.000809034
1.74509	1.08439	0.000810897
1.80973	1.08432	0.000817665
1.87436	1.06544	0.000837411
1.93899	1.03789	0.000766896
2.00362	1.06525	0.000738671
2.06826	1.04936	0.000705657
2.13289	1.05511	0.000641089
2.19752	1.03748	0.000667566
2.26216	1.05214	0.000655962
2.32679	1.03776	0.000612205
2.39142	1.02238	0.000565235
2.45606	1.02179	0.000515867
2.52069	1.01336	0.000626513
2.58532	1.00995	0.000568902
2.64995	1.01002	0.000446818
2.71459	1.01274	0.000413474
2.77922	1.01018	0.000465467
2.84385	1.00749	0.000494452
2.90849	1.00216	0.000477138
2.97312	1.00111	0.000452298
3.03775	0.995965	0.000440558
3.10239	0.99506	0.000442409
3.16702	0.99893	0.000463952
3.23165	0.99824	0.000365113
3.29629	1.00131	0.000424322
3.36092	0.993717	0.000417932
3.42555	0.998471	0.00037367
3.49018	0.993852	0.000361733
3.55482	0.982055	0.000447709
3.61945	0.992341	0.000387221
3.68408	0.98912	0.000347476
3.74872	0.988556	0.000399129
3.81335	0.986126	0.000339927
3.87798	0.992661	0.00036448
3.94262	0.986069	0.000318608
4.00725	0.985339	0.000299502
4.07188	0.983948	0.000337784
4.13651	0.990619	0.000336521
4.20115	0.98943	0.000323711
4.26578	0.989764	0.000332967
4.33041	0.987948	0.000324383
4.39505	0.987328	0.00028115
4.45968	0.984512	0.000279467
4.52431	0.987832	0.000282411
4.58895	0.98936	0.000257523
4.65358	0.983406	0.000277772
4.71821	0.984224	0.000267021
4.78285	0.984696	0.000298008
4.84748	0.983319	0.000300594
4.91211	0.984087	0.000269268
4.97674	0.985615	0.000248048
5.04138	0.98715	0.000255817
5.10601	0.983823	0.000255087
5.17064	0.984736	0.000276967
5.23528	0.986592	0.000238465
5.29991	0.986326	0.000238
5.36454	0.981066	0.000229285
5.42918	0.984746	0.000246675
5.49381	0.986183	0.000248452
5.55844	0.991043	0.000234105
5.62307	0.985227	0.000207654
5.68771	0.987436	0.000264461
5.75234	0.982547	0.000244625
5.81697	0.991517	0.000231762
5.88161	0.990665	0.000232274
5.94624	0.981759	0.000232665
6.01087	0.981806	0.000221571
6.07551	0.986574	0.000196041
6.14014	0.984312	0.000203794
6.20477	0.989483	0.000194698
6.2694	0.986117	0.000210868
6.33404	0.985777	0.000206168
6.39867	0.986443	0.000247508
