#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0531986	0.0531986	0
2	0.0531982	0.0531984	1.53957e-07
3	0.053202	0.0531996	9.94266e-07
4	0.0531998	0.0531997	7.47309e-07
5	0.0531985	0.0531994	6.3227e-07
6	0.0532003	0.0531996	5.41095e-07
7	0.0531996	0.0531996	4.63799e-07
8	0.0532013	0.0531998	4.53593e-07
9	0.0531976	0.0531996	4.62489e-07
10	0.0531992	0.0531995	4.17298e-07
11	0.0531987	0.0531995	3.85935e-07
12	0.0532007	0.0531996	3.67187e-07
13	0.053199	0.0531995	3.41262e-07
14	0.0531999	0.0531995	3.17937e-07
15	0.0532001	0.0531996	2.99098e-07
16	0.0531996	0.0531996	2.80435e-07
17	0.0531995	0.0531996	2.63965e-07
18	0.0531979	0.0531995	2.65062e-07
19	0.0531989	0.0531995	2.52689e-07
20	0.0531994	0.0531995	2.40055e-07
21	0.0532026	0.0531996	2.7059e-07
22	0.0531988	0.0531996	2.60744e-07
23	0.0532001	0.0531996	2.50346e-07
24	0.0531962	0.0531995	2.76221e-07
25	0.0532002	0.0531995	2.66757e-07
26	0.0531997	0.0531995	2.56586e-07
27	0.0531997	0.0531995	2.4725e-07
28	0.0531976	0.0531994	2.47441e-07
29	0.0531994	0.0531994	2.38915e-07
30	0.0531985	0.0531994	2.33072e-07
31	0.0532012	0.0531995	2.32828e-07
32	0.0531982	0.0531994	2.28751e-07
33	0.0532002	0.0531994	2.23013e-07
34	0.0531984	0.0531994	2.18671e-07
35	0.0531987	0.0531994	2.13321e-07
36	0.053201	0.0531994	2.12069e-07
37	0.0531995	0.0531994	2.06356e-07
38	0.0531981	0.0531994	2.04122e-07
39	0.0531974	0.0531993	2.05135e-07
40	0.0531999	0.0531994	2.00543e-07
41	0.0531988	0.0531994	1.96068e-07
42	0.0531975	0.0531993	1.96483e-07
43	0.0531985	0.0531993	1.92882e-07
44	0.0531972	0.0531992	1.94459e-07
45	0.053201	0.0531993	1.94241e-07
46	0.0531995	0.0531993	1.90105e-07
47	0.0532018	0.0531993	1.93303e-07
48	0.0531985	0.0531993	1.90135e-07
49	0.0532003	0.0531993	1.87316e-07
50	0.0531967	0.0531993	1.90914e-07
51	0.0532035	0.0531994	2.04291e-07
52	0.0532	0.0531994	2.00669e-07
53	0.0532004	0.0531994	1.97831e-07
54	0.0531983	0.0531994	1.95176e-07
55	0.053199	0.0531994	1.91754e-07
56	0.0532001	0.0531994	1.88798e-07
57	0.0532	0.0531994	1.85815e-07
58	0.0531968	0.0531994	1.87835e-07
59	0.0531983	0.0531993	1.8546e-07
60	0.0532012	0.0531994	1.8494e-07
61	0.0531977	0.0531993	1.83913e-07
62	0.0531998	0.0531993	1.81095e-07
63	0.0531997	0.0531994	1.78287e-07
64	0.0532005	0.0531994	1.76374e-07
65	0.0532009	0.0531994	1.75131e-07
66	0.0531979	0.0531994	1.73978e-07
67	0.0532016	0.0531994	1.74615e-07
68	0.0531998	0.0531994	1.72132e-07
69	0.0531988	0.0531994	1.69891e-07
70	0.0532024	0.0531994	1.72709e-07
71	0.0532004	0.0531995	1.70843e-07
72	0.0531985	0.0531994	1.68949e-07
73	0.0532005	0.0531995	1.67306e-07
74	0.0531978	0.0531994	1.66483e-07
75	0.0531995	0.0531994	1.64264e-07
76	0.0532011	0.0531995	1.63521e-07
77	0.0531984	0.0531994	1.61947e-07
78	0.053199	0.0531994	1.59962e-07
79	0.0532022	0.0531995	1.61687e-07
80	0.053198	0.0531995	1.60777e-07
81	0.0532002	0.0531995	1.59054e-07
82	0.0532001	0.0531995	1.57308e-07
83	0.0531992	0.0531995	1.55436e-07
84	0.0532006	0.0531995	1.54119e-07
85	0.0532014	0.0531995	1.53891e-07
86	0.0531972	0.0531995	1.54481e-07
87	0.0532016	0.0531995	1.54679e-07
88	0.0532004	0.0531995	1.53267e-07
89	0.0531981	0.0531995	1.52386e-07
90	0.0531976	0.0531995	1.52075e-07
91	0.0532007	0.0531995	1.50972e-07
92	0.0531983	0.0531995	1.49892e-07
93	0.0532005	0.0531995	1.48692e-07
94	0.0531973	0.0531995	1.48971e-07
95	0.0531984	0.0531995	1.47824e-07
96	0.0531964	0.0531994	1.49593e-07
97	0.053198	0.0531994	1.48794e-07
98	0.0531988	0.0531994	1.47414e-07
99	0.0531983	0.0531994	1.46315e-07
100	0.0532009	0.0531994	1.45638e-07
