#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.65	1.65	0
2	1.65	1.65	0
3	1.65	1.65	0
4	1.65	1.65	0
5	1.65	1.65	0
6	1.65	1.65	0
7	1.65	1.65	1.37958e-08
8	1.65	1.65	1.29048e-08
9	1.65	1.65	1.21667e-08
10	1.65	1.65	1.15424e-08
11	1.65	1.65	1.55638e-08
12	1.65	1.65	1.49012e-08
13	1.65	1.65	1.43166e-08
14	1.65	1.65	1.37958e-08
15	1.65	1.65	1.3328e-08
16	1.65	1.65	1.29048e-08
17	1.65	1.65	1.25195e-08
18	1.65	1.65	1.21667e-08
19	1.65	1.65	1.18422e-08
20	1.65	1.65	9.42432e-09
21	1.65	1.65	9.1972e-09
22	1.65	1.65	1.10052e-08
23	1.65	1.65	1.07633e-08
24	1.65	1.65	1.05367e-08
25	1.65	1.65	1.03238e-08
26	1.65	1.65	1.01233e-08
27	1.65	1.65	9.93411e-09
28	1.65	1.65	9.7551e-09
29	1.65	1.65	9.58543e-09
30	1.65	1.65	9.42432e-09
31	1.65	1.65	9.27107e-09
32	1.65	1.65	9.12506e-09
33	1.65	1.65	8.98574e-09
34	1.65	1.65	8.85261e-09
35	1.65	1.65	8.72523e-09
36	1.65	1.65	8.60319e-09
37	1.65	1.65	8.48613e-09
38	1.65	1.65	8.37373e-09
39	1.65	1.65	6.7489e-09
40	1.65	1.65	6.664e-09
41	1.65	1.65	6.58223e-09
42	1.65	1.65	6.5034e-09
43	1.65	1.65	7.87184e-09
44	1.65	1.65	7.78188e-09
45	1.65	1.65	7.69493e-09
46	1.65	1.65	7.61083e-09
47	1.65	1.65	7.52942e-09
48	1.65	1.65	7.45058e-09
49	1.65	1.65	6.73166e-09
50	1.65	1.65	5.96046e-09
51	1.65	1.65	5.90174e-09
52	1.65	1.65	5.06167e-09
53	1.65	1.65	5.01369e-09
54	1.65	1.65	4.05558e-09
55	1.65	1.65	4.01854e-09
56	1.65	1.65	2.81605e-09
57	1.65	1.65	2.79124e-09
58	1.65	1.65	0
59	1.65	1.65	0
60	1.65	1.65	0
61	1.65	1.65	2.69818e-09
62	1.65	1.65	2.67633e-09
63	1.65	1.65	3.75474e-09
64	1.65	1.65	3.72529e-09
65	1.65	1.65	3.69652e-09
66	1.65	1.65	4.49287e-09
67	1.65	1.65	4.45921e-09
68	1.65	1.65	4.4263e-09
69	1.65	1.65	5.07388e-09
70	1.65	1.65	5.03751e-09
71	1.65	1.65	5.00191e-09
72	1.65	1.65	5.55333e-09
73	1.65	1.65	5.51517e-09
74	1.65	1.65	5.47778e-09
75	1.65	1.65	5.44113e-09
76	1.65	1.65	5.92112e-09
77	1.65	1.65	5.88255e-09
78	1.65	1.65	6.7489e-09
79	1.65	1.65	6.70605e-09
80	1.65	1.65	7.81423e-09
81	1.65	1.65	8.11116e-09
82	1.65	1.65	8.70747e-09
83	1.65	1.65	8.65486e-09
84	1.65	1.65	9.1972e-09
85	1.65	1.65	9.69755e-09
86	1.65	1.65	9.641e-09
87	1.65	1.65	1.01039e-08
88	1.65	1.65	1.05367e-08
89	1.65	1.65	1.04773e-08
90	1.65	1.65	1.08823e-08
91	1.65	1.65	1.12642e-08
92	1.65	1.65	1.12028e-08
93	1.65	1.65	1.13547e-08
94	1.65	1.65	1.12941e-08
95	1.65	1.65	1.16432e-08
96	1.65	1.65	1.15824e-08
97	1.65	1.65	1.19132e-08
98	1.65	1.65	1.18523e-08
99	1.65	1.65	1.1981e-08
100	1.65	1.65	1.21058e-08
