#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.1	1.1	0
2	1.1	1.1	0
3	1.1	1.1	0
4	1.1	1.1	0
5	1.1	1.1	0
6	1.1	1.1	0
7	1.1	1.1	5.63211e-09
8	1.1	1.1	0
9	1.1	1.1	0
10	1.1	1.1	4.71216e-09
11	1.1	1.1	4.49287e-09
12	1.1	1.1	4.30159e-09
13	1.1	1.1	0
14	1.1	1.1	0
15	1.1	1.1	0
16	1.1	1.1	0
17	1.1	1.1	0
18	1.1	1.1	4.96705e-09
19	1.1	1.1	4.83458e-09
20	1.1	1.1	4.71216e-09
21	1.1	1.1	4.5986e-09
22	1.1	1.1	7.78188e-09
23	1.1	1.1	7.61083e-09
24	1.1	1.1	7.45058e-09
25	1.1	1.1	7.30005e-09
26	1.1	1.1	7.15829e-09
27	1.1	1.1	7.02447e-09
28	1.1	1.1	7.96501e-09
29	1.1	1.1	7.82647e-09
30	1.1	1.1	7.69493e-09
31	1.1	1.1	7.5698e-09
32	1.1	1.1	7.45058e-09
33	1.1	1.1	7.33682e-09
34	1.1	1.1	7.22812e-09
35	1.1	1.1	7.12412e-09
36	1.1	1.1	7.02447e-09
37	1.1	1.1	6.9289e-09
38	1.1	1.1	6.83712e-09
39	1.1	1.1	7.5455e-09
40	1.1	1.1	7.45058e-09
41	1.1	1.1	7.35916e-09
42	1.1	1.1	7.27102e-09
43	1.1	1.1	7.18598e-09
44	1.1	1.1	7.10385e-09
45	1.1	1.1	7.02447e-09
46	1.1	1.1	6.9477e-09
47	1.1	1.1	6.87339e-09
48	1.1	1.1	6.80142e-09
49	1.1	1.1	6.73166e-09
50	1.1	1.1	6.664e-09
51	1.1	1.1	6.59835e-09
52	1.1	1.1	6.53459e-09
53	1.1	1.1	6.47265e-09
54	1.1	1.1	6.41244e-09
55	1.1	1.1	6.02782e-09
56	1.1	1.1	5.97375e-09
57	1.1	1.1	5.58249e-09
58	1.1	1.1	5.53415e-09
59	1.1	1.1	5.13267e-09
60	1.1	1.1	5.08972e-09
61	1.1	1.1	3.8158e-09
62	1.1	1.1	3.7849e-09
63	1.1	1.1	1.87737e-09
64	1.1	1.1	1.86265e-09
65	1.1	1.1	1.84826e-09
66	1.1	1.1	3.17694e-09
67	1.1	1.1	3.15314e-09
68	1.1	1.1	4.4263e-09
69	1.1	1.1	4.39411e-09
70	1.1	1.1	4.36261e-09
71	1.1	1.1	5.30533e-09
72	1.1	1.1	5.26836e-09
73	1.1	1.1	5.23215e-09
74	1.1	1.1	6.0006e-09
75	1.1	1.1	5.96046e-09
76	1.1	1.1	5.92112e-09
77	1.1	1.1	6.35388e-09
78	1.1	1.1	6.53459e-09
79	1.1	1.1	6.4931e-09
80	1.1	1.1	7.06824e-09
81	1.1	1.1	7.02447e-09
82	1.1	1.1	7.17282e-09
83	1.1	1.1	7.12948e-09
84	1.1	1.1	7.45058e-09
85	1.1	1.1	7.40662e-09
86	1.1	1.1	7.53672e-09
87	1.1	1.1	7.49328e-09
88	1.1	1.1	7.78188e-09
89	1.1	1.1	7.73804e-09
90	1.1	1.1	7.8536e-09
91	1.1	1.1	7.81033e-09
92	1.1	1.1	8.0725e-09
93	1.1	1.1	8.02898e-09
94	1.1	1.1	7.98616e-09
95	1.1	1.1	7.94402e-09
96	1.1	1.1	8.04755e-09
97	1.1	1.1	8.28695e-09
98	1.1	1.1	8.24456e-09
99	1.1	1.1	8.20282e-09
100	1.1	1.1	8.1617e-09
