#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0	0
0.461329	0	0
0.484395	0	0
0.507461	0	0
0.530528	0	0
0.553594	0	0
0.576661	0	0
0.599727	0	0
0.622794	0	0
0.64586	0	0
0.668926	0	0
0.691993	0	0
0.715059	0	0
0.738126	0	0
0.761192	0	0
0.784259	0	0
0.807325	0	0
0.830391	0	0
0.853458	0	0
0.876524	7.36405e-05	2.26078e-05
0.899591	0.00370784	0.000137613
0.922657	0.0468493	0.000284558
0.945724	0.287772	0.00140933
0.96879	1.00413	0.00273295
0.991856	2.22907	0.00478194
1.01492	3.62793	0.00296245
1.03799	4.61703	0.00451399
1.06106	4.90734	0.00599063
1.08412	4.51858	0.00720612
1.10719	3.66309	0.00347761
1.13026	2.68445	0.00365109
1.15332	1.82177	0.00168448
1.17639	1.1377	0.00242401
1.19945	0.640781	0.00216298
1.22252	0.35019	0.00177108
1.24559	0.172964	0.000917499
1.26865	0.0900471	0.000875791
1.29172	0.0493766	0.000697256
1.31479	0.0396679	0.000517277
1.33785	0.0594707	0.000596973
1.36092	0.104401	0.000790836
1.38399	0.179993	0.000972777
1.40705	0.293684	0.00124885
1.43012	0.452223	0.000973331
1.45319	0.631163	0.000908708
1.47625	0.804503	0.00153818
1.49932	0.928142	0.00173282
1.52238	0.971552	0.00209838
1.54545	0.938188	0.00215515
1.56852	0.804612	0.00143476
1.59158	0.638563	0.00100108
1.61465	0.467577	0.000956316
1.63772	0.316995	0.00118948
1.66078	0.216831	0.0011286
1.68385	0.189755	0.00146713
1.70692	0.250108	0.00154937
1.72998	0.425334	0.00197255
1.75305	0.739444	0.00221135
1.77612	1.18764	0.00159634
1.79918	1.72321	0.00152995
1.82225	2.2429	0.00243226
1.84531	2.61774	0.00313705
1.86838	2.72016	0.00404598
1.89145	2.58271	0.00400984
1.91451	2.18536	0.00278401
1.93758	1.68788	0.00130893
1.96065	1.1913	0.00136535
1.98371	0.800943	0.00208298
2.00678	0.531254	0.00189651
2.02985	0.425387	0.00182911
2.05291	0.456783	0.00163582
2.07598	0.580582	0.00123786
2.09905	0.753983	0.000717651
2.12211	0.923835	0.00100412
2.14518	1.01948	0.00123114
2.16824	1.02808	0.00173834
2.19131	0.924808	0.00107893
2.21438	0.789903	0.000660094
2.23744	0.645686	0.00107035
2.26051	0.564974	0.00156939
2.28358	0.566515	0.00206624
