#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-7.54509	-7.54509	0
2	-7.54015	-7.54262	0.00174682
3	-7.56217	-7.54914	0.00544761
4	-7.5454	-7.5482	0.00416511
5	-7.54759	-7.54808	0.0033339
6	-7.55223	-7.54877	0.00284916
7	-7.53874	-7.54734	0.00277935
8	-7.53721	-7.54607	0.00270489
9	-7.54217	-7.54564	0.00243879
10	-7.55675	-7.54675	0.00243473
11	-7.5519	-7.54722	0.0022579
12	-7.56002	-7.54828	0.00230818
13	-7.54748	-7.54822	0.00213146
14	-7.54107	-7.54771	0.00203949
15	-7.53811	-7.54707	0.00200141
16	-7.53392	-7.54625	0.00203812
17	-7.56314	-7.54724	0.00214687
18	-7.5595	-7.54792	0.0021328
19	-7.54972	-7.54802	0.00202263
20	-7.5516	-7.5482	0.0019294
