#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-6.34509	-6.34509	0
2	-6.34015	-6.34262	0.00174682
3	-6.36217	-6.34914	0.00544761
4	-6.3454	-6.3482	0.00416511
5	-6.34759	-6.34808	0.0033339
6	-6.35223	-6.34877	0.00284916
7	-6.33874	-6.34734	0.00277935
8	-6.33721	-6.34607	0.00270489
9	-6.34217	-6.34564	0.00243879
10	-6.35675	-6.34675	0.00243473
11	-6.3519	-6.34722	0.0022579
12	-6.36002	-6.34828	0.00230818
13	-6.34748	-6.34822	0.00213146
14	-6.34107	-6.34771	0.00203949
15	-6.33811	-6.34707	0.00200141
16	-6.33392	-6.34625	0.00203812
17	-6.36314	-6.34724	0.00214687
18	-6.3595	-6.34792	0.0021328
19	-6.34972	-6.34802	0.00202263
20	-6.3516	-6.3482	0.0019294
