#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-7.55081	-7.55081	0
2	-7.55111	-7.55096	0.000105307
3	-7.54284	-7.54825	0.00220935
4	-7.54843	-7.5483	0.00165743
5	-7.55426	-7.54949	0.00170144
6	-7.54023	-7.54794	0.00199894
7	-7.54861	-7.54804	0.00171563
8	-7.55111	-7.54842	0.00154359
9	-7.5383	-7.5473	0.00173447
10	-7.54259	-7.54683	0.00162374
11	-7.5317	-7.54545	0.00197447
12	-7.55828	-7.54652	0.00207928
13	-7.54403	-7.54633	0.00192818
14	-7.55059	-7.54663	0.00181433
15	-7.54314	-7.5464	0.00170826
16	-7.53304	-7.54557	0.00179402
17	-7.55514	-7.54613	0.00177477
18	-7.54194	-7.5459	0.00169137
19	-7.55465	-7.54636	0.00166393
20	-7.55358	-7.54672	0.00161946
21	-7.53988	-7.54639	0.00157473
22	-7.54762	-7.54645	0.00150414
23	-7.54264	-7.54628	0.00144785
24	-7.54807	-7.54636	0.00138943
25	-7.54626	-7.54635	0.00133386
26	-7.54318	-7.54623	0.00128812
27	-7.55303	-7.54648	0.00126481
28	-7.54223	-7.54633	0.00122875
29	-7.54571	-7.54631	0.00118656
30	-7.53935	-7.54608	0.0011695
31	-7.54287	-7.54597	0.00113635
32	-7.54863	-7.54606	0.00110387
33	-7.53813	-7.54582	0.00109623
34	-7.5454	-7.5458	0.00106406
35	-7.55366	-7.54603	0.00105704
36	-7.54226	-7.54592	0.00103285
37	-7.55296	-7.54611	0.00102231
38	-7.5465	-7.54612	0.000995456
39	-7.55248	-7.54629	0.000983184
40	-7.5417	-7.54617	0.000965274
41	-7.54201	-7.54607	0.000947063
42	-7.54678	-7.54609	0.000924666
43	-7.53689	-7.54587	0.000927585
44	-7.54702	-7.5459	0.000906866
45	-7.54202	-7.54581	0.00089081
46	-7.54903	-7.54588	0.000874189
47	-7.54821	-7.54593	0.000856984
48	-7.55134	-7.54605	0.000846488
49	-7.54096	-7.54594	0.000835554
50	-7.54096	-7.54584	0.000824772
51	-7.54775	-7.54588	0.000809443
52	-7.54921	-7.54594	0.000796405
53	-7.53234	-7.54569	0.000821691
54	-7.54401	-7.54566	0.000807059
55	-7.55383	-7.5458	0.000805966
56	-7.55309	-7.54593	0.000802006
57	-7.55224	-7.54605	0.000795526
58	-7.55015	-7.54612	0.000784947
59	-7.53593	-7.54594	0.000790397
60	-7.5401	-7.54585	0.000783192
61	-7.55009	-7.54592	0.000773437
62	-7.54029	-7.54583	0.000766272
63	-7.54774	-7.54586	0.000754711
64	-7.55172	-7.54595	0.000748454
65	-7.54606	-7.54595	0.000736941
66	-7.5447	-7.54593	0.000726018
67	-7.5423	-7.54588	0.0007172
68	-7.54434	-7.54585	0.00070701
69	-7.54201	-7.5458	0.000698949
70	-7.5481	-7.54583	0.000689737
71	-7.54389	-7.5458	0.000680562
72	-7.5521	-7.54589	0.00067671
73	-7.54704	-7.54591	0.000667623
74	-7.54964	-7.54596	0.000660507
75	-7.54663	-7.54597	0.00065176
76	-7.54412	-7.54594	0.000643635
77	-7.54452	-7.54592	0.000635539
78	-7.5378	-7.54582	0.000635857
79	-7.54078	-7.54576	0.000631005
80	-7.55507	-7.54587	0.000633769
81	-7.55266	-7.54596	0.000631456
82	-7.54767	-7.54598	0.000624103
83	-7.54391	-7.54595	0.000617082
84	-7.54442	-7.54593	0.000610005
85	-7.54325	-7.5459	0.000603645
86	-7.54925	-7.54594	0.00059788
87	-7.5522	-7.54601	0.000595317
88	-7.54632	-7.54602	0.000588563
89	-7.55304	-7.54609	0.00058721
90	-7.55255	-7.54617	0.000585046
91	-7.54432	-7.54615	0.000578968
92	-7.54916	-7.54618	0.000573601
93	-7.54462	-7.54616	0.000567678
94	-7.53696	-7.54606	0.000570011
95	-7.55173	-7.54612	0.000567119
96	-7.54865	-7.54615	0.000561819
97	-7.55989	-7.54629	0.000573613
98	-7.54776	-7.54631	0.000567955
99	-7.55026	-7.54635	0.000563617
100	-7.54523	-7.54634	0.000558091
