#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	-0.76124	-0.76124	0
2	-0.761274	-0.761257	1.17944e-05
3	-0.760868	-0.761127	0.00010607
4	-0.761125	-0.761127	7.95547e-05
5	-0.761425	-0.761186	8.30294e-05
6	-0.760701	-0.761105	0.000101182
7	-0.761148	-0.761111	8.69056e-05
8	-0.761266	-0.761131	7.81473e-05
9	-0.760639	-0.761076	8.65055e-05
10	-0.760849	-0.761053	8.07819e-05
11	-0.760266	-0.760982	0.000100276
12	-0.761638	-0.761036	0.000105785
13	-0.760925	-0.761028	9.79941e-05
14	-0.76124	-0.761043	9.21616e-05
15	-0.760854	-0.76103	8.68769e-05
16	-0.760342	-0.760987	9.14699e-05
17	-0.761486	-0.761017	9.06787e-05
18	-0.760785	-0.761004	8.6552e-05
19	-0.761439	-0.761027	8.49727e-05
20	-0.761401	-0.761045	8.27564e-05
21	-0.760685	-0.761028	8.05731e-05
22	-0.761091	-0.761031	7.69606e-05
23	-0.760834	-0.761023	7.40908e-05
24	-0.7611	-0.761026	7.1074e-05
25	-0.761037	-0.761026	6.82324e-05
26	-0.760865	-0.76102	6.5889e-05
27	-0.761354	-0.761032	6.46024e-05
28	-0.760821	-0.761025	6.27351e-05
29	-0.760975	-0.761023	6.05958e-05
30	-0.760683	-0.761012	5.96283e-05
31	-0.760844	-0.761006	5.79493e-05
32	-0.761164	-0.761011	5.63487e-05
33	-0.760605	-0.760999	5.59712e-05
34	-0.760997	-0.760999	5.43251e-05
35	-0.761402	-0.76101	5.39805e-05
36	-0.760812	-0.761005	5.27614e-05
37	-0.761356	-0.761014	5.21814e-05
38	-0.761048	-0.761015	5.08157e-05
39	-0.761338	-0.761024	5.0182e-05
40	-0.760776	-0.761017	4.9308e-05
41	-0.760823	-0.761013	4.83327e-05
42	-0.761043	-0.761013	4.71873e-05
43	-0.760556	-0.761003	4.72721e-05
44	-0.761033	-0.761003	4.62027e-05
45	-0.760809	-0.760999	4.53771e-05
46	-0.761159	-0.761003	4.45229e-05
47	-0.761127	-0.761005	4.36541e-05
48	-0.761282	-0.761011	4.31225e-05
49	-0.760764	-0.761006	4.25354e-05
50	-0.760758	-0.761001	4.19717e-05
51	-0.761083	-0.761003	4.11795e-05
52	-0.761189	-0.761006	4.0543e-05
53	-0.760319	-0.760993	4.18011e-05
54	-0.760904	-0.760992	4.10598e-05
55	-0.761402	-0.760999	4.09862e-05
56	-0.761369	-0.761006	4.07823e-05
57	-0.761309	-0.761011	4.04136e-05
58	-0.761243	-0.761015	3.99147e-05
59	-0.760477	-0.761006	4.02655e-05
60	-0.760693	-0.761001	3.99313e-05
61	-0.761208	-0.761004	3.94214e-05
62	-0.76072	-0.760999	3.90502e-05
63	-0.761093	-0.761001	3.84587e-05
64	-0.761302	-0.761006	3.81437e-05
65	-0.761011	-0.761006	3.7557e-05
66	-0.760962	-0.761005	3.69938e-05
67	-0.760808	-0.761002	3.6558e-05
68	-0.760915	-0.761001	3.60426e-05
69	-0.760798	-0.760998	3.56398e-05
70	-0.761115	-0.761	3.51701e-05
71	-0.760907	-0.760998	3.4699e-05
72	-0.761319	-0.761003	3.45015e-05
73	-0.761039	-0.761003	3.40325e-05
74	-0.761175	-0.761006	3.36514e-05
75	-0.761034	-0.761006	3.32049e-05
76	-0.760903	-0.761005	3.27957e-05
77	-0.760937	-0.761004	3.23816e-05
78	-0.760601	-0.760999	3.23758e-05
79	-0.760777	-0.760996	3.20875e-05
80	-0.761466	-0.761002	3.22201e-05
81	-0.761338	-0.761006	3.20893e-05
82	-0.761115	-0.761007	3.17254e-05
83	-0.760898	-0.761006	3.13705e-05
84	-0.760941	-0.761005	3.10064e-05
85	-0.760886	-0.761004	3.06733e-05
86	-0.761183	-0.761006	3.03874e-05
87	-0.761341	-0.76101	3.0281e-05
88	-0.761047	-0.76101	2.99399e-05
89	-0.76136	-0.761014	2.986e-05
90	-0.761347	-0.761018	2.9757e-05
91	-0.760947	-0.761017	2.94401e-05
92	-0.761182	-0.761019	2.91749e-05
93	-0.760933	-0.761018	2.88758e-05
94	-0.760526	-0.761012	2.90378e-05
95	-0.761292	-0.761015	2.88806e-05
96	-0.761141	-0.761017	2.86093e-05
97	-0.761726	-0.761024	2.92327e-05
98	-0.761098	-0.761025	2.89443e-05
99	-0.761222	-0.761027	2.87203e-05
100	-0.760969	-0.761026	2.84388e-05
