#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.38332	1.38332	0
2	1.38481	1.38407	0.000527406
3	1.39108	1.3864	0.00194211
4	1.384	1.3858	0.00154718
5	1.38355	1.38535	0.00130171
6	1.38723	1.38567	0.00112185
7	1.3866	1.3858	0.000969582
8	1.38323	1.38548	0.00089987
9	1.3893	1.3859	0.000894444
10	1.39004	1.38632	0.000895387
11	1.38314	1.38603	0.000859403
12	1.38384	1.38585	0.000806889
13	1.38543	1.38581	0.000745455
14	1.38568	1.3858	0.00069227
15	1.39146	1.38618	0.000741602
16	1.38247	1.38595	0.000730639
17	1.38442	1.38586	0.000693188
18	1.38206	1.38565	0.000686063
19	1.3905	1.3859	0.000695853
20	1.38852	1.38603	0.000673258
