#DISTANCE:	AVE_GOFR:	ERROR:
0	0.16374	0.119695
0.064633	0.0701741	0.0624439
0.129266	0.0775609	0.0524611
0.193899	0.0398286	0.0555727
0.258532	0.0671064	0.0529083
0.323165	0.0521808	0.0522413
0.387798	0.0657537	0.0510611
0.452431	0.0542569	0.0500318
0.517064	0.0588557	0.0523128
0.581697	0.0573995	0.0508635
0.64633	0.0588671	0.0499819
0.710963	0.060629	0.0508378
0.775596	0.0572565	0.0515976
0.84023	0.0559768	0.0511415
0.904863	0.0589048	0.0504158
0.969496	0.0551855	0.0507997
1.03413	0.0605256	0.0505221
1.09876	0.0555895	0.0503243
1.16339	0.0522947	0.0510809
1.22803	0.0526665	0.0514806
1.29266	0.0575231	0.0509243
1.35729	0.0528878	0.0509842
1.42193	0.0532504	0.0504227
1.48656	0.0554363	0.0507839
1.55119	0.0590045	0.0510422
1.61583	0.0538805	0.0508141
1.68046	0.053466	0.0508609
1.74509	0.0559991	0.0504625
1.80973	0.0589248	0.0510923
1.87436	0.0586352	0.0515616
1.93899	0.0554403	0.0508759
2.00362	0.0539015	0.0508757
2.06826	0.0548727	0.0511407
2.13289	0.0556822	0.0509227
2.19752	0.0584621	0.051024
2.26216	0.0553883	0.0511094
2.32679	0.0532963	0.0510541
2.39142	0.0565851	0.0510498
2.45606	0.0562982	0.0507332
2.52069	0.0561073	0.0509984
2.58532	0.0556668	0.050974
2.64995	0.0553616	0.0509542
2.71459	0.0570475	0.0508295
2.77922	0.0558105	0.0511131
2.84385	0.0556456	0.0511149
2.90849	0.0593428	0.0510085
2.97312	0.055985	0.0511295
3.03775	0.0550556	0.050776
3.10239	0.0562659	0.0506837
3.16702	0.0570895	0.0510256
3.23165	0.054851	0.0509357
3.29629	0.0546965	0.0511332
3.36092	0.0545931	0.0509702
3.42555	0.0557748	0.0509907
3.49018	0.056595	0.0506459
3.55482	0.0556194	0.0510918
3.61945	0.0546426	0.0507986
3.68408	0.0551852	0.0511789
3.74872	0.0559621	0.050993
3.81335	0.0543281	0.0511632
3.87798	0.0547091	0.0509787
3.94262	0.0572302	0.0509014
4.00725	0.0563916	0.05095
4.07188	0.0555499	0.0510191
4.13651	0.0551921	0.050885
4.20115	0.0546265	0.0509419
4.26578	0.0562419	0.0508227
4.33041	0.0558217	0.0507444
4.39505	0.0554833	0.050994
4.45968	0.055514	0.0508223
4.52431	0.0545213	0.0509197
4.58895	0.0550461	0.0510899
4.65358	0.0550125	0.0508585
4.71821	0.0556272	0.0509676
4.78285	0.0550585	0.0510462
4.84748	0.0565587	0.0508544
4.91211	0.0565539	0.0509979
4.97674	0.0547949	0.0511558
5.04138	0.0551792	0.0511435
5.10601	0.0553024	0.0508196
5.17064	0.0552509	0.0510368
5.23528	0.0553331	0.0509776
5.29991	0.0556036	0.0508565
5.36454	0.0551331	0.0510991
5.42918	0.0548143	0.0510183
5.49381	0.0554659	0.0509754
5.55844	0.0558175	0.0511246
5.62307	0.0561244	0.0508056
5.68771	0.0563127	0.0509885
5.75234	0.0558518	0.0510468
5.81697	0.0549242	0.0507755
5.88161	0.0563248	0.0510469
5.94624	0.0565743	0.0508195
6.01087	0.0560512	0.0508981
6.07551	0.0561608	0.0507715
6.14014	0.0564091	0.0508855
6.20477	0.0559377	0.0508501
6.2694	0.0551923	0.0509829
6.33404	0.0560519	0.0508392
6.39867	0.0555428	0.0509512
