N_BLOCK:	ACCEPTANCE:
1	0.628496
2	0.628957
3	0.630142
4	0.630493
5	0.630534
6	0.630567
7	0.630845
8	0.630703
9	0.630733
10	0.630829
11	0.630895
12	0.630846
13	0.631005
14	0.63098
15	0.63099
16	0.630924
17	0.630921
18	0.630872
19	0.630942
20	0.630921
21	0.630907
22	0.630792
23	0.63078
24	0.630772
25	0.630735
26	0.630764
27	0.630727
28	0.630697
29	0.630688
30	0.630707
31	0.630734
32	0.630739
33	0.630725
34	0.630666
35	0.630615
36	0.630652
37	0.630677
38	0.630666
39	0.630645
40	0.63064
41	0.630593
42	0.630576
43	0.63057
44	0.630591
45	0.630627
46	0.630626
47	0.630641
48	0.630643
49	0.630656
50	0.63063
51	0.630641
52	0.630609
53	0.630631
54	0.630604
55	0.630582
56	0.630596
57	0.630601
58	0.630619
59	0.630613
60	0.630625
61	0.63064
62	0.630646
63	0.630636
64	0.630616
65	0.630598
66	0.630607
67	0.630614
68	0.63062
69	0.630638
70	0.630652
71	0.630671
72	0.630696
73	0.630684
74	0.630662
75	0.63066
76	0.630654
77	0.630655
78	0.630645
79	0.630643
80	0.630613
81	0.630608
82	0.630624
83	0.630615
84	0.630575
85	0.630571
86	0.630563
87	0.630573
88	0.630581
89	0.630581
90	0.630582
91	0.630561
92	0.630567
93	0.630574
94	0.630591
95	0.630587
96	0.630589
97	0.630578
98	0.630574
99	0.63059
100	0.630603
