#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.51099	-5.51099	0
2	-5.47016	-5.49057	0.0144376
3	-5.47266	-5.4846	0.0107891
4	-5.44637	-5.47505	0.011575
5	-5.47647	-5.47533	0.00926348
6	-5.44166	-5.46972	0.0092648
7	-5.47642	-5.47068	0.00799054
8	-5.42027	-5.46437	0.00914475
9	-5.46891	-5.46488	0.00814256
10	-5.46674	-5.46506	0.00733042
11	-5.47316	-5.4658	0.00670082
12	-5.44135	-5.46376	0.00644476
13	-5.47335	-5.4645	0.00599108
14	-5.45936	-5.46413	0.00557438
15	-5.45239	-5.46335	0.00525748
16	-5.45448	-5.4628	0.00495802
17	-5.46652	-5.46301	0.0046712
18	-5.46367	-5.46305	0.00441183
19	-5.48113	-5.464	0.00428102
20	-5.47282	-5.46444	0.00408961
