#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.86099	-3.86099	0
2	-3.82016	-3.84057	0.0144376
3	-3.82266	-3.8346	0.0107891
4	-3.79637	-3.82505	0.011575
5	-3.82647	-3.82533	0.00926348
6	-3.79166	-3.81972	0.0092648
7	-3.82642	-3.82068	0.00799054
8	-3.77027	-3.81437	0.00914475
9	-3.81891	-3.81488	0.00814256
10	-3.81674	-3.81506	0.00733042
11	-3.82316	-3.8158	0.00670082
12	-3.79135	-3.81376	0.00644476
13	-3.82335	-3.8145	0.00599108
14	-3.80936	-3.81413	0.00557438
15	-3.80239	-3.81335	0.00525748
16	-3.80448	-3.8128	0.00495802
17	-3.81652	-3.81301	0.0046712
18	-3.81367	-3.81305	0.00441183
19	-3.83113	-3.814	0.00428102
20	-3.82282	-3.81444	0.00408961
