N_BLOCK:	ACCEPTANCE:
1	0.508178
2	0.509657
3	0.509372
4	0.509638
5	0.509511
6	0.509451
7	0.50937
8	0.509746
9	0.509785
10	0.50979
11	0.509811
12	0.509877
13	0.509836
14	0.50988
15	0.509904
16	0.509809
17	0.509829
18	0.509764
19	0.509871
20	0.509793
21	0.509708
22	0.509648
23	0.509663
24	0.509764
25	0.509807
26	0.509814
27	0.509797
28	0.509782
29	0.509802
30	0.509855
31	0.509819
32	0.509811
33	0.509762
34	0.509822
35	0.509884
36	0.509914
37	0.509925
38	0.509874
39	0.509909
40	0.509928
41	0.509948
42	0.509956
43	0.509935
44	0.509918
45	0.509957
46	0.50995
47	0.509973
48	0.510014
49	0.510023
50	0.50997
51	0.509976
52	0.510004
53	0.510001
54	0.510011
55	0.510033
56	0.510005
57	0.510034
58	0.510051
59	0.510047
60	0.510064
61	0.51005
62	0.510031
63	0.510029
64	0.510066
65	0.510065
66	0.510062
67	0.51007
68	0.510078
69	0.510068
70	0.510081
71	0.51007
72	0.510092
73	0.510061
74	0.510064
75	0.51006
76	0.510072
77	0.51008
78	0.510084
79	0.510087
80	0.510086
81	0.510092
82	0.510079
83	0.510076
84	0.510039
85	0.510039
86	0.510068
87	0.510071
88	0.510062
89	0.510051
90	0.510082
91	0.510079
92	0.510069
93	0.51007
94	0.510078
95	0.510082
96	0.510085
97	0.51008
98	0.510077
99	0.510081
100	0.510085
