#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	0	0
0.436044	0	0
0.461694	0	0
0.487343	0	0
0.512993	0	0
0.538642	0	0
0.564292	0	0
0.589942	0	0
0.615591	0	0
0.641241	0	0
0.666891	0	0
0.69254	0	0
0.71819	0	0
0.74384	0	0
0.769489	0	0
0.795139	0	0
0.820788	0	0
0.846438	1.94523e-05	2.75502e-06
0.872088	0.00115549	2.30791e-05
0.897737	0.0230907	0.000105364
0.923387	0.163748	0.000335699
0.949037	0.568381	0.000702299
0.974686	1.2076	0.00123006
1.00034	1.85858	0.00122355
1.02599	2.34294	0.00125268
1.05164	2.55789	0.000984707
1.07728	2.5535	0.000951866
1.10293	2.39258	0.00103783
1.12858	2.18461	0.00091493
1.15423	1.96068	0.00103117
1.17988	1.76158	0.000917181
1.20553	1.55744	0.000899945
1.23118	1.39119	0.000993977
1.25683	1.2441	0.000713786
1.28248	1.12541	0.000601906
1.30813	1.02508	0.000603618
1.33378	0.933393	0.000586915
1.35943	0.874199	0.000575909
1.38508	0.818878	0.000493851
1.41073	0.774086	0.000512267
1.43638	0.738721	0.000524236
1.46203	0.70746	0.000500871
1.48768	0.690536	0.000487182
1.51333	0.674982	0.00049337
1.53898	0.676007	0.00045294
1.56463	0.674843	0.000465778
1.59028	0.682786	0.0004737
1.61593	0.689014	0.000452824
1.64158	0.704402	0.000484636
1.66723	0.724332	0.000460659
1.69288	0.752341	0.000495973
1.71853	0.783847	0.000429783
1.74418	0.817844	0.000518161
1.76983	0.854637	0.000492321
1.79547	0.897602	0.000481591
1.82112	0.936351	0.000462365
1.84677	0.980764	0.000554515
1.87242	1.0172	0.000510897
1.89807	1.06309	0.000511461
1.92372	1.09759	0.000484362
1.94937	1.13099	0.000491838
1.97502	1.15692	0.000479519
2.00067	1.17908	0.000423999
2.02632	1.19813	0.000407911
2.05197	1.21338	0.000440368
2.07762	1.21377	0.000408362
2.10327	1.20677	0.00044645
2.12892	1.19216	0.000488964
2.15457	1.17326	0.000493467
2.18022	1.15071	0.000463803
2.20587	1.12106	0.000471802
2.23152	1.09134	0.000488702
2.25717	1.06597	0.000453063
2.28282	1.04017	0.000449918
2.30847	1.01191	0.000401838
2.33412	0.986725	0.000363854
2.35977	0.963643	0.00034663
2.38542	0.943243	0.00037386
2.41107	0.929843	0.000349449
2.43672	0.913969	0.000358103
2.46237	0.907675	0.000348579
2.48802	0.893338	0.000373602
2.51366	0.889074	0.000357861
2.53931	0.887677	0.000329818
