#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	-0.760971	-0.760971	0
2	-0.760704	-0.760837	9.42387e-05
3	-0.761842	-0.761172	0.000280624
4	-0.760988	-0.761126	0.000214202
5	-0.761078	-0.761117	0.000171583
6	-0.761311	-0.761149	0.000146014
7	-0.760702	-0.761085	0.000138415
8	-0.76058	-0.761022	0.000134762
9	-0.760803	-0.760998	0.000121964
10	-0.761565	-0.761054	0.000122245
11	-0.761299	-0.761076	0.000113136
12	-0.761701	-0.761129	0.00011506
13	-0.761112	-0.761127	0.000106216
14	-0.760747	-0.7611	0.000102037
15	-0.760629	-0.761069	9.99542e-05
16	-0.760389	-0.761026	0.000102328
17	-0.761853	-0.761075	0.00010724
18	-0.761687	-0.761109	0.000106546
19	-0.761222	-0.761115	0.000101104
20	-0.761269	-0.761123	9.63407e-05
