N_BLOCK:	ACCEPTANCE:
1	0.496285
2	0.496581
3	0.496712
4	0.496959
5	0.496807
6	0.49679
7	0.496761
8	0.49675
9	0.496815
10	0.496879
11	0.496785
12	0.496776
13	0.496763
14	0.496787
15	0.496694
16	0.496639
17	0.496596
18	0.496584
19	0.496566
20	0.496563
21	0.496547
22	0.496557
23	0.496537
24	0.496497
25	0.496516
26	0.49651
27	0.496515
28	0.496509
29	0.496477
30	0.496448
31	0.496437
32	0.496471
33	0.496481
34	0.496497
35	0.496505
36	0.496516
37	0.496476
38	0.496474
39	0.496483
40	0.496482
41	0.496464
42	0.496481
43	0.496488
44	0.496501
45	0.496526
46	0.496536
47	0.496512
48	0.496535
49	0.496536
50	0.496526
51	0.496531
52	0.496522
53	0.496516
54	0.496505
55	0.496512
56	0.496493
57	0.496504
58	0.49651
59	0.496505
60	0.496532
61	0.49652
62	0.496502
63	0.496485
64	0.496481
65	0.496498
66	0.496496
67	0.49651
68	0.496519
69	0.496523
70	0.496525
71	0.49654
72	0.496554
73	0.496561
74	0.496573
75	0.496578
76	0.496588
77	0.496601
78	0.496603
79	0.496599
80	0.496584
81	0.496574
82	0.496574
83	0.496567
84	0.496549
85	0.49655
86	0.49656
87	0.496565
88	0.496564
89	0.496569
90	0.496585
91	0.496597
92	0.496591
93	0.496593
94	0.496598
95	0.496598
96	0.496592
97	0.496587
98	0.496572
99	0.496569
100	0.496563
