#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.8	0.8	0
2	0.8	0.8	0
3	0.8	0.8	0
4	0.8	0.8	0
5	0.8	0.8	0
6	0.8	0.8	0
7	0.8	0.8	5.63211e-09
8	0.8	0.8	5.26836e-09
9	0.8	0.8	4.96705e-09
10	0.8	0.8	3.332e-09
11	0.8	0.8	3.17694e-09
12	0.8	0.8	3.04169e-09
13	0.8	0.8	2.92236e-09
14	0.8	0.8	2.81605e-09
15	0.8	0.8	3.84746e-09
16	0.8	0.8	3.72529e-09
17	0.8	0.8	3.61406e-09
18	0.8	0.8	3.51224e-09
19	0.8	0.8	4.83458e-09
20	0.8	0.8	4.71216e-09
21	0.8	0.8	4.5986e-09
22	0.8	0.8	5.02318e-09
23	0.8	0.8	4.91277e-09
24	0.8	0.8	4.80933e-09
25	0.8	0.8	4.21468e-09
26	0.8	0.8	5.06167e-09
27	0.8	0.8	4.53428e-09
28	0.8	0.8	4.45257e-09
29	0.8	0.8	3.91324e-09
30	0.8	0.8	3.84746e-09
31	0.8	0.8	3.27782e-09
32	0.8	0.8	3.2262e-09
33	0.8	0.8	3.17694e-09
34	0.8	0.8	2.55553e-09
35	0.8	0.8	2.51876e-09
36	0.8	0.8	2.48353e-09
37	0.8	0.8	2.44974e-09
38	0.8	0.8	1.70928e-09
39	0.8	0.8	1.68722e-09
40	0.8	0.8	1.666e-09
41	0.8	0.8	1.64556e-09
42	0.8	0.8	2.2993e-09
43	0.8	0.8	3.21367e-09
44	0.8	0.8	3.17694e-09
45	0.8	0.8	3.51224e-09
46	0.8	0.8	4.11032e-09
47	0.8	0.8	4.34712e-09
48	0.8	0.8	4.56253e-09
49	0.8	0.8	4.51573e-09
50	0.8	0.8	4.71216e-09
51	0.8	0.8	4.66573e-09
52	0.8	0.8	5.26836e-09
53	0.8	0.8	5.21842e-09
54	0.8	0.8	5.16987e-09
55	0.8	0.8	5.31603e-09
56	0.8	0.8	5.26836e-09
57	0.8	0.8	5.58249e-09
58	0.8	0.8	5.53415e-09
59	0.8	0.8	5.48705e-09
60	0.8	0.8	5.77119e-09
61	0.8	0.8	5.72369e-09
62	0.8	0.8	5.67735e-09
63	0.8	0.8	5.93676e-09
64	0.8	0.8	5.8902e-09
65	0.8	0.8	5.84472e-09
66	0.8	0.8	6.08337e-09
67	0.8	0.8	6.0378e-09
68	0.8	0.8	5.99324e-09
69	0.8	0.8	5.94966e-09
70	0.8	0.8	6.16967e-09
71	0.8	0.8	6.12606e-09
72	0.8	0.8	6.08337e-09
73	0.8	0.8	6.04156e-09
74	0.8	0.8	6.24563e-09
75	0.8	0.8	6.20385e-09
76	0.8	0.8	6.1629e-09
77	0.8	0.8	6.12275e-09
78	0.8	0.8	6.08337e-09
79	0.8	0.8	6.1599e-09
80	0.8	0.8	6.00685e-09
81	0.8	0.8	5.73546e-09
82	0.8	0.8	5.70038e-09
83	0.8	0.8	5.54664e-09
84	0.8	0.8	5.51353e-09
85	0.8	0.8	5.23727e-09
86	0.8	0.8	5.32926e-09
87	0.8	0.8	5.05197e-09
88	0.8	0.8	5.02318e-09
89	0.8	0.8	4.86841e-09
90	0.8	0.8	4.84129e-09
91	0.8	0.8	4.55417e-09
92	0.8	0.8	4.52935e-09
93	0.8	0.8	4.37042e-09
94	0.8	0.8	4.34712e-09
95	0.8	0.8	4.0449e-09
96	0.8	0.8	4.02377e-09
97	0.8	0.8	4.00298e-09
98	0.8	0.8	3.68708e-09
99	0.8	0.8	3.66841e-09
100	0.8	0.8	3.49463e-09
